"Sex","SSF","PBF","Sport","Wt","Ht"
"F",109.1,19.75,"BBall",78.9,195.9
"F",102.8,21.3,"BBall",74.4,189.7
"F",104.6,19.88,"BBall",69.1,177.8
"F",126.4,23.66,"BBall",74.9,185
"F",80.3,17.64,"BBall",64.6,184.6
"F",75.2,15.58,"BBall",63.7,174
"F",87.2,19.99,"BBall",75.2,186.2
"F",97.9,22.43,"BBall",62.3,173.8
"F",75.1,17.95,"BBall",66.5,171.4
"F",65.1,15.07,"BBall",62.9,179.9
"F",171.1,28.83,"BBall",96.3,193.4
"F",76.8,18.08,"BBall",75.5,188.7
"F",117.8,23.3,"BBall",63,169.1
"F",90.2,17.71,"Rowing",80.5,177.9
"F",97.2,18.77,"Rowing",71.3,177.5
"F",99.9,19.83,"Rowing",70.5,179.6
"F",125.9,25.16,"Rowing",73.2,181.3
"F",69.9,18.04,"Rowing",68.7,179.7
"F",98,21.79,"Rowing",80.5,185.2
"F",96.8,22.25,"Rowing",72.9,177.3
"F",80.3,16.25,"Rowing",74.5,179.3
"F",74.9,16.38,"Rowing",75.4,175.3
"F",83,19.35,"Rowing",69.5,174
"F",91,19.2,"Rowing",66.4,183.3
"F",76.2,17.89,"Rowing",79.7,184.7
"F",52.6,12.2,"Rowing",73.6,180.2
"F",111.1,23.7,"Rowing",78.7,180.2
"F",110.7,24.69,"Rowing",75,176
"F",74.7,16.58,"Rowing",49.8,156
"F",113.5,21.47,"Rowing",67.2,179.7
"F",99.8,20.12,"Rowing",66,180.9
"F",80.3,17.51,"Rowing",74.3,179.5
"F",109.5,23.7,"Rowing",78.1,178.9
"F",123.6,22.39,"Rowing",79.5,182.1
"F",91.2,20.43,"Rowing",78.5,186.3
"F",49,11.29,"Netball",59.9,176.8
"F",110.2,25.26,"Netball",63,172.6
"F",89,19.39,"Netball",66.3,176
"F",98.3,19.63,"Netball",60.7,169.9
"F",122.1,23.11,"Netball",72.9,183
"F",90.4,16.86,"Netball",67.9,178.2
"F",106.9,21.32,"Netball",67.5,177.3
"F",156.6,26.57,"Netball",74.1,174.1
"F",101.1,17.93,"Netball",68.2,173.6
"F",126.4,24.97,"Netball",68.8,173.7
"F",114,22.62,"Netball",75.3,178.7
"F",70,15.01,"Netball",67.4,183.3
"F",77,18.14,"Netball",70,174.4
"F",148.9,26.78,"Netball",74,173.3
"F",80.1,17.22,"Netball",51.9,168.6
"F",156.6,26.5,"Netball",74.1,174
"F",115.9,23.01,"Netball",74.3,176
"F",181.7,30.1,"Netball",77.8,172.2
"F",71.6,13.93,"Netball",66.9,182.7
"F",143.5,26.65,"Netball",83.8,180.5
"F",200.8,35.52,"Netball",82.9,179.8
"F",68.9,15.59,"Netball",64.1,179.6
"F",103.6,19.61,"Netball",68.85,171.7
"F",71.3,14.52,"Swim",64.8,170
"F",54.6,11.47,"Swim",59,170
"F",88.2,17.71,"Swim",72.1,180.5
"F",95.4,18.48,"Swim",75.6,173.3
"F",47.5,11.22,"Swim",71.4,173.5
"F",55.6,13.61,"Swim",69.7,181
"F",62.9,12.78,"Swim",63.9,175
"F",52.5,11.85,"Swim",55.1,170.3
"F",62.6,13.35,"Swim",60,165
"F",49.9,11.77,"Field",58,169.8
"F",57.9,11.07,"T400m",64.7,174.1
"F",109.6,21.3,"Field",87.5,175
"F",98.5,20.1,"Field",78.9,171.1
"F",136.3,24.88,"Field",83.9,172.7
"F",103.6,19.26,"Field",82.8,175.6
"F",102.8,19.51,"Field",74.4,171.6
"F",131.9,23.01,"Field",94.8,172.3
"F",33.8,8.07,"T400m",49.2,171.4
"F",43.5,11.05,"TSprnt",61.9,178
"F",46.2,12.39,"T400m",53.6,162
"F",73.9,15.95,"T400m",63.7,167.3
"F",36.8,9.91,"T400m",52.8,162
"F",67,16.2,"T400m",65.2,170.8
"F",41.1,9.02,"T400m",50.9,163
"F",59.4,14.26,"T400m",57.3,166.1
"F",48.4,10.48,"T400m",60,176
"F",50,11.64,"TSprnt",60.1,163.9
"F",54.6,12.16,"T400m",52.5,173
"F",42.3,10.53,"T400m",59.7,177
"F",46.1,10.15,"TSprnt",57.3,168
"F",46.3,10.74,"TSprnt",59.6,172
"F",109,20.86,"Tennis",71.5,167.9
"F",98.1,19.64,"Tennis",69.7,177.5
"F",80.6,17.07,"Tennis",56.1,162.5
"F",68.3,15.31,"Tennis",61.1,172.5
"F",47.6,11.07,"Tennis",47.4,166.7
"F",61.9,12.92,"Tennis",56,175
"F",38.2,8.45,"Tennis",45.8,157.9
"F",43.5,10.16,"Gym",47.8,158.9
"F",56.8,12.55,"Gym",43.8,156.9
"F",41.6,9.1,"Gym",37.8,148.9
"F",58.9,13.46,"Gym",45.1,149
"M",44.5,8.47,"Swim",67,172.7
"M",41.8,7.68,"Swim",74.4,176.5
"M",33.7,6.16,"Swim",79.3,183
"M",50.9,8.56,"Swim",87.5,194.4
"M",40.5,6.86,"Swim",83.5,193.4
"M",51.2,9.4,"Swim",78,180.2
"M",54.4,9.17,"Swim",78,183
"M",52.3,8.54,"Swim",85,184
"M",57,9.2,"Swim",84.7,192.7
"M",65.3,11.72,"Swim",92,187.2
"M",52,8.44,"Swim",72.3,183.9
"M",42.7,7.19,"Swim",83,192
"M",35.2,6.46,"Swim",96.9,190.4
"M",49.2,9,"Rowing",85.7,190.7
"M",61.8,12.61,"Rowing",85.4,181.8
"M",46.5,9.03,"Rowing",85.3,188.3
"M",34.8,6.96,"Rowing",93.5,198
"M",60.2,10.05,"Rowing",86.8,186
"M",48.1,9.56,"Rowing",87.9,192
"M",44.5,9.36,"Rowing",87.2,185.6
"M",54,10.81,"Rowing",53.8,165.3
"M",44.7,8.61,"Rowing",89.8,185.6
"M",64.9,9.53,"Rowing",91.1,189
"M",43.8,7.42,"Rowing",88.6,193.4
"M",58.3,9.79,"Rowing",92.3,185.6
"M",52.8,8.97,"Rowing",97,194.6
"M",43.1,7.49,"Rowing",89.5,189
"M",78,11.95,"Rowing",88.2,188.1
"M",40.8,7.35,"BBall",92.2,200.4
"M",41.5,7.16,"BBall",78.9,195.3
"M",50.9,8.77,"BBall",90.3,194.1
"M",49.6,9.56,"BBall",87,187.9
"M",88.9,14.53,"BBall",113.7,209.4
"M",48.3,8.51,"BBall",98,203.4
"M",61.8,10.64,"BBall",100.2,198.7
"M",43,7.06,"BBall",79.4,187.1
"M",61.1,8.87,"BBall",90.3,196.6
"M",43.8,7.88,"BBall",77.7,186.1
"M",54.2,9.2,"BBall",83.9,192.8
"M",41.8,7.19,"BBall",75.5,195.2
"M",34.1,6.06,"T400m",60.6,169.1
"M",30.5,5.63,"T400m",71,186.6
"M",34,6.59,"T400m",71.8,184.4
"M",46.7,9.5,"T400m",76.8,187.3
"M",71.1,13.97,"Field",102.7,185.1
"M",65.9,11.66,"Field",94.25,185.5
"M",34.3,6.43,"Field",79,184.9
"M",34.6,6.99,"T400m",66.6,175
"M",31.8,6,"T400m",71.8,185.4
"M",34.5,6.56,"T400m",74.8,181
"M",31,6.03,"T400m",68.2,176
"M",32.6,6.33,"T400m",62.3,176.2
"M",31.5,6.82,"T400m",61,174
"M",32.6,6.2,"T400m",77.5,191
"M",31,5.93,"T400m",57.4,171
"M",28,5.8,"TSprnt",71.4,174
"M",33.7,6.56,"TSprnt",70.3,180.2
"M",30.3,6.76,"TSprnt",80.2,178.5
"M",38,7.22,"Field",84.2,190.3
"M",55.7,8.51,"Field",111.3,185
"M",37.5,7.72,"Field",80.7,189
"M",112.5,19.94,"Field",97.9,180.1
"M",82.7,13.91,"Field",123.2,189.2
"M",29.7,6.1,"TSprnt",72.9,182.6
"M",38.9,7.52,"TSprnt",83,186
"M",44.8,9.56,"TSprnt",75.9,174.9
"M",30.9,6.06,"T400m",70.7,180.6
"M",44,7.35,"T400m",67.1,178.6
"M",37.5,6,"T400m",69.2,173
"M",37.6,6.92,"T400m",67.05,179.7
"M",31.7,6.33,"TSprnt",70.5,174.6
"M",36.6,5.9,"TSprnt",70.8,178
"M",48,8.84,"T400m",71,178.5
"M",41.9,8.94,"TSprnt",69.1,171.3
"M",30.9,6.53,"T400m",62.9,178
"M",52.8,9.4,"TSprnt",94.8,189.1
"M",43.2,8.18,"Field",94.6,195.4
"M",113.5,17.41,"Field",108.2,179.1
"M",96.9,18.08,"Field",97.9,180.1
"M",49.3,9.86,"Field",75.2,179.6
"M",42.3,7.29,"TSprnt",74.8,174.7
"M",96.3,18.72,"WPolo",94.2,192.7
"M",56.5,10.12,"WPolo",76.1,179.3
"M",105.7,19.17,"WPolo",94.7,197.5
"M",100.7,17.24,"WPolo",86.2,182.7
"M",56.8,9.89,"WPolo",79.6,190.5
"M",75.9,13.06,"WPolo",85.3,191
"M",52.8,8.84,"WPolo",74.4,179.6
"M",47.8,8.87,"WPolo",93.5,192.6
"M",76,14.69,"WPolo",87.6,194.1
"M",61.2,8.64,"WPolo",85.4,193
"M",75.6,14.98,"WPolo",101,193.9
"M",43.3,7.82,"WPolo",74.9,187.7
"M",49.5,8.97,"WPolo",87.3,185.3
"M",70,11.63,"WPolo",90,191.5
"M",75.7,13.49,"WPolo",94.7,184.6
"M",57.7,10.25,"WPolo",76.3,179.9
"M",67.2,11.79,"WPolo",93.2,183.9
"M",56.5,10.05,"Tennis",80,183.5
"M",47.6,8.51,"Tennis",73.8,183.1
"M",60.4,11.5,"Tennis",71.1,178.4
"M",34.9,6.26,"Tennis",76.7,190.8
