"","Bitumen","AirVoids"
"1",5.18,4.01
"2",5.26,3.79
"3",4.79,5.04
"4",5.3,3.75
"5",5.04,4.4
"6",5.08,4.32
"7",5.35,3.59
"8",5.14,4.14
"9",4.77,5.09
"10",4.88,4.81
"11",5.24,3.9
"12",5.24,3.87
"13",4.86,4.85
"14",4.79,5.02
"15",5.2,3.96
"16",5.23,3.91
"17",5.27,3.78
"18",5.15,4.09
"19",5.38,3.54
"20",5.25,3.81
"21",5.09,4.21
"22",5.14,4.1
"23",4.98,4.51
"24",5.13,4.13
"25",4.96,4.56
"26",5.21,3.95
"27",4.95,4.58
"28",4.96,4.56
"29",5.05,4.41
"30",4.99,4.55
"31",5,4.53
"32",4.97,4.6
"33",5.07,4.35
"34",4.98,4.59
"35",5.06,4.37
"36",4.92,4.74
"37",5.02,4.49
"38",4.89,4.82
"39",5.05,4.41
"40",5,4.54
"41",5.02,4.47
"42",5.17,4.16
