"","High1","Mid1","High2","Mid2"
"1",61.63,18.36,62.64,19.12
"2",63.11,18.77,64.36,19.07
"3",66.88,18.98,66.06,19.58
"4",62.56,17.97,65.39,19.35
"5",66.12,19.69,66.85,19.65
"6",65.34,19.63,65.56,19.13
"7",64.83,19.5,66.6,19.55
"8",64.22,19.39,66.9,19.85
"9",65.54,19.87,65.5,19.45
"10",65.33,19.66,65.92,19.87
"11",67.83,20.41,65.51,19.73
"12",65.97,18.37,65.03,19.6
"13",65.01,19.09,64.22,20.76
"14",64.51,18.98,64.19,18.98
"15",64.3,19.22,64.95,19.93
"16",64.38,18.99,64.95,19.15
"17",64.75,19.58,64.45,19.23
"18",63.12,19.7,64.77,19.2
"19",62.93,19,65.58,19.52
"20",63.59,19.11,64.87,19.38
"21",67.04,19.97,63.52,19.08
"22",64.38,19.52,65.02,18.89
"23",63.41,19.39,66.05,19.57
"24",64.19,17.2,63.82,19.35
"25",64.86,19.75,64.58,19.13
"26",63.7,19.35,65.09,19.44
"27",63.14,19.95,64.86,19.27
"28",66,19.38,64.85,19.58
"29",63.43,19.33,66.75,19.71
"30",64.25,19,65.37,19.64
"31",63.67,19.05,64.29,19.14
"32",64.78,19.24,65.5,19.28
"33",58.02,19.29,62.85,19.68
"34",63.46,19.29,64,18.27
"35",65.2,19.18,63.72,18.75
"36",63.74,19.35,64.3,19.57
