"Year","Price","Age"
2005,6800,9
2011,14500,3
1988,600,26
2005,5800,9
2006,9500,8
2004,7000,10
1999,1999,15
1988,4000,26
2003,4990,11
2009,9995,5
2011,17000,3
2012,15990,2
1999,2790,15
2007,8350,7
2004,6998,10
2003,7999,11
2001,4500,13
2012,13700,2
2002,6800,12
2001,3450,13
2001,4750,13
2001,4499,13
1994,550,20
1995,3400,19
2002,5999,12
2007,8980,7
2010,12200,4
2002,3250,12
2007,6999,7
2006,9500,8
1994,3900,20
2002,6300,12
2006,7000,8
2001,3450,13
2001,4750,13
2001,4499,13
1994,550,20
1995,3400,19
2002,5999,12
2007,8980,7
2010,12200,4
2002,3250,12
2007,6999,7
2010,15250,4
2001,390000,13
