startingForm,finalForm,transitionCode,CL1,ChL1,CL2,ChL2,CL_diff,ChL_diff
1,2,3,40.1,33,43,33.2,2.9,0.2
2,1,4,30,18.3,32.9,21.3,2.9,3
2,2,2,24.9,14,27.8,15.7,2.9,1.7
1,2,3,41,36,44.1,35.9,3.1,-0.1
2,2,2,43,34.5,46.5,35.2,3.5,0.7
2,2,2,45.7,37.6,47.7,38.1,2,0.5
2,2,2,29.3,18.6,31,20.3,1.7,1.7
2,1,4,47.7,40.9,49,41.9,1.3,1
1,1,1,37.3,26.5,39.1,32.7,1.8,6.2
1,1,1,44,32,45,34.7,1,2.7
1,1,1,40,32.2,41.3,35.9,1.3,3.7
1,1,1,53.2,43.5,54.7,48.4,1.5,4.9
1,2,3,38.7,28.5,42.1,30.3,3.4,1.8
1,2,3,31.5,23.5,34.8,25,3.3,1.5
1,2,3,31.2,21.3,33.7,21.9,2.5,0.6
1,2,3,29,17.5,33.5,20.5,4.5,3
1,2,3,29,15.7,33.4,19,4.4,3.3
1,2,3,36.5,25.5,38,25.8,1.5,0.3
1,2,3,34.3,27,35.6,25.3,1.3,-1.7
1,2,3,45.3,37.8,47.2,39,1.9,1.2
1,2,3,46.7,37.9,49.2,38.2,2.5,0.3
2,2,2,29,16.8,30.7,18.9,1.7,2.1
1,2,3,30.5,17.8,33.3,19.6,2.8,1.8
2,2,2,34,20,36.9,22,2.9,2
2,2,2,30.2,18.4,33.5,22.3,3.3,3.9
2,2,2,26.5,15.7,30,19,3.5,3.3
2,2,2,26.9,13,28.5,15.3,1.6,2.3
2,1,4,40.1,26,41.2,30,1.1,4
2,1,4,33.5,20.4,36,21.4,2.5,1
2,1,4,33.1,20.2,35,25,1.9,4.8
2,1,4,44.4,30.9,46.3,36.1,1.9,5.2
2,1,4,42.3,37.1,48.5,44.2,6.2,7.1
2,1,4,32.1,20.3,34.2,24,2.1,3.7
