"","Year","Severe","NonSevere","Total","JFM","AMJ","JAS","OND"
"1",1969,3,7,10,1,0.6,0.4,0.8
"2",1970,3,14,17,0.3,0,-0.8,-0.9
"3",1971,9,7,16,-1.3,-0.8,-0.8,-1
"4",1972,6,6,12,-0.4,0.5,1.3,2
"5",1973,4,15,19,1.2,-0.6,-1.3,-2
"6",1974,3,13,16,-1.7,-0.9,-0.5,-0.9
"7",1975,4,12,16,-0.6,-0.9,-1.3,-1.7
"8",1976,4,9,13,-1.2,-0.5,0.3,0.8
"9",1977,4,5,9,0.5,0.2,0.4,0.7
"10",1978,4,7,11,0.4,-0.4,-0.4,-0.2
"11",1979,8,6,14,0,0.1,0.1,0.5
"12",1980,7,7,14,0.3,0.3,0,0
"13",1981,4,11,15,-0.5,-0.3,-0.4,-0.1
"14",1982,4,3,7,0.1,0.6,1,2.2
"15",1983,8,12,20,2,1,-0.2,-0.9
"16",1984,11,6,17,-0.2,-0.5,-0.2,-0.9
"17",1985,8,7,15,-0.8,-0.7,-0.5,-0.3
"18",1986,3,4,7,-0.4,-0.1,0.5,1.1
"19",1987,3,2,5,1.3,1,1.6,1.3
"20",1988,6,7,13,0.5,-0.7,-1.2,-1.9
"21",1989,4,9,13,-1.5,-0.6,-0.3,-0.2
"22",1990,6,4,10,0.2,0.2,0.3,0.3
"23",1991,9,1,10,0.3,0.6,0.9,1.4
"24",1992,4,3,7,1.6,1.2,0.2,0
"25",1993,7,4,11,0.4,0.8,0.4,0.3
"26",1994,6,0,6,0.2,0.5,0.6,1.2
"27",1995,9,4,13,0.9,0.3,-0.2,-0.7
"28",1996,5,10,15,-0.7,-0.1,-0.1,-0.3
"29",1997,4,6,10,-0.3,0.8,2,2.5
"30",1998,9,5,14,1.9,0.5,-0.8,-1.3
"31",1999,6,6,12,-1.2,-0.8,-0.9,-1.3
"32",2000,3,5,8,-1.4,-0.6,-0.4,-0.6
"33",2001,3,7,10,-0.5,-0.1,0.2,-0.1
"34",2002,3,4,7,0.1,0.7,1,1.5
"35",2003,5,5,10,0.9,-0.1,0.5,0.6
"36",2004,5,5,10,0.3,0.3,0.8,0.8
"37",2005,8,4,12,0.5,0.4,0.3,-0.4
