"Cases","Pop","Age","City"
11,3059,"40-54","Fredericia"
11,800,"55-59","Fredericia"
11,710,"60-64","Fredericia"
10,581,"65-69","Fredericia"
11,509,"70-74","Fredericia"
10,605,">74","Fredericia"
13,2879,"40-54","Horsens"
6,1083,"55-59","Horsens"
15,923,"60-64","Horsens"
10,834,"65-69","Horsens"
12,634,"70-74","Horsens"
2,782,">74","Horsens"
4,3142,"40-54","Kolding"
8,1050,"55-59","Kolding"
7,895,"60-64","Kolding"
11,702,"65-69","Kolding"
9,535,"70-74","Kolding"
12,659,">74","Kolding"
5,2520,"40-54","Vejle"
7,878,"55-59","Vejle"
10,839,"60-64","Vejle"
14,631,"65-69","Vejle"
8,539,"70-74","Vejle"
7,619,">74","Vejle"
