"Country","Indus","Sugar","DMFT"
"Albania       ","Yes_duplicated_Yes",22.16,3.4
"Australia     ","Yes_duplicated_Yes",49.96,2
"Austria       ","Yes_duplicated_Yes",47.32,4.4
"Belgium       ","Yes_duplicated_Yes",40.86,3.1
"Canada        ","Yes_duplicated_Yes",42.12,4.3
"Czechoslavakia","Yes_duplicated_Yes",49.92,3.6
"Denmark       ","Yes_duplicated_Yes",48.28,1.6
"Finland       ","Yes_duplicated_Yes",41.96,2
"France        ","Yes_duplicated_Yes",37.4,3
"Germany (West)","Yes_duplicated_Yes",39.42,5.2
"Greece        ","Yes_duplicated_Yes",33.3,4.4
"Hungary       ","Yes_duplicated_Yes",48.98,5
"Iceland       ","Yes_duplicated_Yes",51.62,6.6
"Ireland       ","Yes_duplicated_Yes",48.56,2.9
"Italy         ","Yes_duplicated_Yes",30.74,3
"Japan         ","Yes_duplicated_Yes",23.32,4.9
"Malta         ","Yes_duplicated_Yes",47.62,1.6
"Netherlands   ","Yes_duplicated_Yes",53.54,2.5
"New Zealand   ","Yes_duplicated_Yes",50.16,2.4
"Norway        ","Yes_duplicated_Yes",41.28,2.7
"Poland        ","Yes_duplicated_Yes",49.28,4.4
"Portugal      ","Yes_duplicated_Yes",33.48,3.2
"Sweden        ","Yes_duplicated_Yes",45.6,2.2
"Switzerland   ","Yes_duplicated_Yes",44.98,2.4
"Turkey        ","Yes_duplicated_Yes",28.32,2.7
"UK            ","Yes_duplicated_Yes",43.95,3.1
"USA           ","Yes_duplicated_Yes",32.14,1.8
"USSR          ","Yes_duplicated_Yes",48.92,3
"Yugoslavia    ","Yes_duplicated_Yes",37.86,6.1
"Algeria       ","No_duplicated_No",36.6,2.3
"Angolia       ","No_duplicated_No",12,1.7
"Argentina     ","No_duplicated_No",34.56,3.4
"Bahamas       ","No_duplicated_No",34.4,1.6
"Bahrain       ","No_duplicated_No",34.86,1.3
"Bangladesh    ","No_duplicated_No",2.88,3.5
"Barbados      ","No_duplicated_No",63.02,4.4
"Belize        ","No_duplicated_No",49.02,4
"Botswana      ","No_duplicated_No",35.6,0.5
"Brazil        ","No_duplicated_No",46.98,6.7
"Cameroon      ","No_duplicated_No",7.56,1.5
"Columbia      ","No_duplicated_No",37.76,4.8
"Congo (DR)    ","No_duplicated_No",2.66,1
"Cuba          ","No_duplicated_No",62.14,3.9
"Cyprus        ","No_duplicated_No",34.1,2.5
"El Salvador   ","No_duplicated_No",34.44,5.1
"Ethiopia      ","No_duplicated_No",3.92,0.4
"Fiji          ","No_duplicated_No",54.24,2.8
"Gambia        ","No_duplicated_No",26.56,1.6
"Ghana         ","No_duplicated_No",4.36,0.4
"Guatemala     ","No_duplicated_No",35.3,8.1
"Guyana        ","No_duplicated_No",40.65,2.7
"Haiti         ","No_duplicated_No",11.17,3.2
"Hong Kong     ","No_duplicated_No",24.18,1.5
"Indonesia     ","No_duplicated_No",12.5,2.3
"Iraq          ","No_duplicated_No",43,2.7
"Ivory Coast   ","No_duplicated_No",10.74,2.9
"Jamaica       ","No_duplicated_No",45.98,6.7
"Jordan        ","No_duplicated_No",44.44,1
"Korea (Rep)   ","No_duplicated_No",11.56,0.9
"Kuwait        ","No_duplicated_No",44.63,2
"Madagascar    ","No_duplicated_No",7.76,4.4
"Malawi        ","No_duplicated_No",7.56,0.9
"Malaysia      ","No_duplicated_No",35.1,3.9
"Maldives      ","No_duplicated_No",31.43,2.1
"Mali          ","No_duplicated_No",5,2.2
"Morocco       ","No_duplicated_No",32.68,1.8
"Myanmar       ","No_duplicated_No",1.44,1.1
"Niger         ","No_duplicated_No",4.68,1.7
"Nigeria       ","No_duplicated_No",10.15,2
"Pakistan      ","No_duplicated_No",16.02,1.2
"Philippines   ","No_duplicated_No",23.93,2.2
"Phine (PR)    ","No_duplicated_No",4.66,0.7
"Saudi Arabia  ","No_duplicated_No",38.66,1.8
"Senegal       ","No_duplicated_No",14.26,1.5
"Sierra Leone  ","No_duplicated_No",4.84,1.3
"Singapore     ","No_duplicated_No",49.56,2.5
"Somalia       ","No_duplicated_No",11.82,1.3
"Sri Lanka     ","No_duplicated_No",18.1,1.9
"Sudan         ","No_duplicated_No",24.16,2.1
"Syria         ","No_duplicated_No",40.18,1.7
"Tanzania      ","No_duplicated_No",4.72,0.6
"Thailand      ","No_duplicated_No",15.34,1.5
"Togo          ","No_duplicated_No",10.7,0.3
"Tunisia       ","No_duplicated_No",27.3,2.1
"Ugandas       ","No_duplicated_No",0.97,1.5
"Western Samoa ","No_duplicated_No",19.1,2.5
"Yemen (AR)    ","No_duplicated_No",30,3.1
"Yemen (PDR)   ","No_duplicated_No",22.33,0.7
"Zambia        ","No_duplicated_No",18.53,2.3
"Zimbabwe      ","No_duplicated_No",27,1.2
