"Breed","Weight","LitterSize","BirthWeight","Lifespan"
"Afghan Hound",24.94758035,8,NA,11.92
"Airedale Terrier",27.2155422,7.4,0.397,10.75
"Anatolian Shepherd Dog",52.16312255,NA,NA,10.75
"Australian Cattle Dog",19.27767573,5.5,0.3,11.67
"Basset Hound",23.81359943,6.7,0.45,11.29
"Beagle",11.33980925,5.5,NA,12.67
"Bearded Collie",22.6796185,5.4,0.298,13.5
"Bernese Mountain Dog",40.8233133,6.4,0.52,8
"Bichon Frise",6.80388555,4.6,NA,12.92
"Bloodhound",43.09127515,7,0.45,6.79
"Border Collie",19.27767573,6,0.372,12.25
"Border Terrier",6.123496995,5.1,0.184,14
"Borzoi",36.85438006,7.6,0.359,9.08
"Briard",35.15340868,7.3,0.348,11.17
"Brussels Griffon",4.08233133,3.6,0.17,12
"Bull Terrier",27.2155422,5.5,0.283,10
"Bulldog",20.41165665,5.4,0.34,6.29
"Bullmastiff",52.16312255,6.9,0.635,7.46
"Cairn Terrier",6.123496995,4.4,0.193,14
"Cardigan Welsh Corgi",14.40155775,7.5,0.34,12.17
"Cavalier King Charles Spaniel",7.030681735,4.1,0.21,11.38
"Chinese Shar-Pei",23.81359943,3.9,NA,6.29
"Chow Chow",26.08156128,4.4,NA,9.38
"Cocker Spaniel",11.33980925,5.3,0.25,10.33
"Collie",28.34952313,5.2,0.482,12.67
"Dachshund (Standard)",10.88621688,5.4,0.227,12.67
"Dalmatian",26.08156128,8.4,0.404,12.5
"Doberman Pinscher",36.85438006,7,0.312,10.5
"English Cocker Spaniel",13.6077711,5.7,0.313,11.17
"English Setter",27.78253266,6.4,0.482,11.58
"English Springer Spaniel",20.41165665,7.3,0.3,12
"Flat-Coated Retriever",29.48350405,8.3,0.284,9.83
"German Shorthaired Pointer",26.08156128,8.3,0.5,12
"German Wirehaired Pointer",27.2155422,7.3,NA,10
"Golden Retriever",29.48350405,7.5,0.411,12.25
"Gordon Setter",28.34952313,7.6,0.315,11.08
"Great Dane",64.06992226,7.1,0.625,6.5
"Greyhound",29.48350405,8.9,0.55,9.08
"Irish Red and White Setter",21.2054433,8,0.41,11.42
"Irish Setter",29.48350405,7.1,NA,12
"Irish Water Spaniel",25.62796891,NA,NA,9.33
"Irish Wolfhound",51.02914163,6.8,0.568,7.04
"Keeshond",18.1436948,5.5,0.255,12.21
"Labrador Retriever",30.61748498,6.9,0.45,12.25
"Lhasa Apso",6.123496995,4.9,NA,14.33
"Mastiff",77.1107029,6,0.567,6.83
"Miniature Pinscher",4.08233133,4.3,0.184,13
"Miniature Schnauzer",7.030681735,4.7,NA,12.08
"Norfolk Terrier",5.216312255,2.5,NA,11
"Norwegian Elkhound",23.36000706,5.5,NA,13.17
"Norwich Terrier",5.44310844,2.6,NA,13.38
"Old English Sheepdog",36.2873896,4.3,0.33,10.75
"Otterhound",44.22525608,NA,0.631,10.21
"Pharaoh Hound",22.6796185,NA,NA,11.83
"Poodle (Standard)",24.94758035,7,NA,12
"Portuguese Water Dog",21.2054433,7.4,0.284,11.42
"Pug",7.25747792,4.2,0.227,11
"Rhodesian Ridgeback",35.15340868,8.9,0.44,11
"Rottweiler",46.49321793,7.4,NA,8.92
"Saint Bernard",65.77089365,6.8,0.566,7
"Saluki",23.81359943,6.3,NA,12
"Samoyed",22.11262804,6.2,NA,12.5
"Scottish Deerhound",41.39030376,8,NA,8.67
"Scottish Terrier",9.0718474,5.7,NA,10.25
"Shetland Sheepdog",9.0718474,3.9,NA,12.5
"Shih Tzu",5.669904625,4.2,0.17,13.17
"Siberian Husky",21.54563758,5.1,0.527,12.58
"Soft Coated Wheaten Terrier",15.87573295,5.8,0.265,12.5
"Staffordshire Bull Terrier",14.06136347,5.6,0.284,12.75
"Standard Schnauzer",18.1436948,7,NA,11.96
"Tibetan Spaniel",5.44310844,3.8,NA,14.42
"Weimaraner",32.88544683,8.8,NA,11.13
"Whippet",14.74175203,6.1,NA,12.79
