"","Willow","Skypilot","MinTemp","Altitude"
"1",201,201,11.3,11500
"2",178,179,10.88888889,10000
"3",189,189,11.11111111,11520
"4",189,189,11.11111111,11520
"5",196,203,9.722222222,10880
"6",207,203,11.72222222,11480
"7",199,199,11.11111111,10420
"8",178,182,11.55555556,11040
"9",178,178,9.777777778,11554
"10",191,191,9.722222222,11120
"11",187,192,12.61111111,11150
"12",190,197,8.055555556,11650
"13",190,190,8.055555556,11650
"14",209,209,8.055555556,11880
"15",221,221,8.055555556,11560
"16",179,188,11.11111111,11400
"17",174,179,10.27777778,10840
"18",172,166,13.44444444,11500
"19",196,196,9.222222222,11800
"20",173,173,13.11111111,11500
"21",180,173,10.55555556,11500
"22",181,179,NA,11500
"23",186,186,8.055555556,11300
"24",194,209,9.666666667,11375
"25",197,197,9.722222222,11480
