"Farm","Flowers2014","Flowers2015","Fruit2014","Fruit2015","FLength2014","FLength2015","FBreadth2014","FBreadth2015","FWeight2014","FWeight2015"
"Field 1",50,50,11,22,NA,140.908,NA,79.412,367.75,371.05
"Field 11",49,50,15,11,121.377,106.935,62.627,68.288,238.25,218.85
"Field 14",48,48,13,13,118.266,116.849,66.565,67.784,271.25,217.55
"Field 17",50,49,18,18,126.643,109.276,72.958,65.799,286.27,221.7
"Field 19",50,50,22,16,116.601,120.045,69.241,70.284,259.2,268.95
"Field 2",48,49,3,14,NA,108.46,NA,66.803,196.23,194.85
"Field 22",50,50,18,12,122.328,123.232,73.14,73.812,283.7,293
"Field 25",38,35,7,6,121.766,127.327,68.413,64.857,252.05,264.15
"Field 28",50,49,17,20,116.708,114.142,70.955,68.076,253.7,218.45
"Field 30",50,49,17,14,125.237,120.224,72.35,68.163,279.8,225.4
"Field 4",50,50,11,18,108.702,115.806,65.416,67.4,206.05,225.9
"Field 6",48,41,14,19,113.08,108.8,66.516,64.022,222,222.85
"Field 7",47,46,3,10,121.091,122.844,74.443,71.531,285.5,282.25
"Field A",47,47,9,10,104.392,117.311,60.055,69.478,171.5,266
"Field F",45,47,12,8,110.031,113.706,64.09,67.058,186.75,206.2
"Field F33",47,50,5,17,115.238,103.84,67.063,66.833,219.55,194.6
"Field K",50,44,10,8,117.108,134.503,62.596,76.021,198.15,346.75
"Field L",50,44,9,9,120.735,120.78,66.988,72.738,248.1,304.55
"Field M",49,50,11,17,120.493,120.998,66.466,71.088,231.55,263.2
"Field N2",NA,49,NA,14,NA,118.359,NA,67.869,NA,223.7
"Field O",50,49,9,10,NA,124.2,NA,72.972,257.5,258.75
"Field P11",50,35,5,11,119.491,130.662,65.241,65.125,230.7,248.95
"Field SN14",50,38,14,5,112.799,95.274,68.676,60.254,260.5,155.95
"Field Z",49,50,16,22,114.351,100.442,68.738,76.492,231.85,219.3
