"","Gender","Hat","Sunglasses","Phone","Count"
"1","Male","Yes","Yes","Easy",6
"2","Male","Yes","Yes","Not easy",15
"3","Male","Yes","No","Easy",14
"4","Male","Yes","No","Not easy",44
"5","Male","No","Yes","Easy",21
"6","Male","No","Yes","Not easy",81
"7","Male","No","No","Easy",51
"8","Male","No","No","Not easy",154
"9","Female","Yes","Yes","Easy",2
"10","Female","Yes","Yes","Not easy",7
"11","Female","Yes","No","Easy",3
"12","Female","Yes","No","Not easy",10
"13","Female","No","Yes","Easy",40
"14","Female","No","Yes","Not easy",77
"15","Female","No","No","Easy",94
"16","Female","No","No","Not easy",133
