"","Hage","Hht","Wage","Wht","Hmarried"
"1",49,1809,43,1590,25
"2",25,1841,28,1560,19
"3",40,1659,30,1620,38
"4",52,1779,57,1540,26
"5",58,1616,52,1420,30
"6",32,1695,27,1660,23
"7",43,1730,52,1610,33
"8",42,1753,NA,1635,30
"9",47,1740,43,1580,26
"10",31,1685,23,1610,26
"11",26,1735,25,1590,23
"12",40,1713,39,1610,23
"13",35,1736,32,1700,31
"14",45,1715,NA,1522,41
"15",35,1799,35,1680,19
"16",35,1785,33,1680,24
"17",47,1758,43,1630,24
"18",38,1729,35,1570,27
"19",33,1720,32,1720,28
"20",32,1810,30,1740,22
"21",38,1725,40,1600,31
"22",45,1764,NA,1689,24
"23",29,1683,29,1600,25
"24",59,1585,55,1550,23
"25",26,1684,25,1540,18
"26",50,1674,45,1640,25
"27",49,1724,44,1640,27
"28",42,1630,40,1630,28
"29",33,1855,31,1560,22
"30",31,1796,NA,1652,25
"31",27,1700,25,1580,21
"32",57,1765,51,1570,32
"33",34,1700,31,1590,28
"34",28,1721,25,1650,23
"35",46,1823,NA,1591,NA
"36",37,1829,35,1670,22
"37",56,1710,55,1600,44
"38",27,1745,23,1610,25
"39",36,1698,35,1610,22
"40",31,1853,28,1670,20
"41",57,1610,52,1510,25
"42",55,1680,53,1520,21
"43",47,1809,43,1620,25
"44",64,1580,61,1530,21
"45",60,1600,NA,1451,26
"46",31,1585,23,1570,28
"47",35,1705,35,1580,25
"48",36,1675,35,1590,22
"49",40,1735,39,1670,23
"50",30,1686,24,1630,27
"51",32,1768,29,1510,21
"52",27,1721,NA,1560,26
"53",20,1754,21,1660,19
"54",45,1739,39,1610,25
"55",59,1699,52,1440,27
"56",43,1825,52,1570,25
"57",29,1740,26,1670,24
"58",48,1704,NA,1635,27
"59",39,1719,NA,1670,25
"60",47,1731,48,1730,21
"61",54,1679,53,1560,NA
"62",43,1755,42,1590,20
"63",54,1713,50,1600,23
"64",61,1723,64,1490,26
"65",27,1783,26,1660,20
"66",51,1585,NA,1504,50
"67",27,1749,32,1580,24
"68",32,1710,31,1500,31
"69",54,1724,53,1640,20
"70",37,1620,39,1650,21
"71",55,1764,45,1620,29
"72",36,1791,33,1550,30
"73",32,1795,32,1640,25
"74",57,1738,55,1560,24
"75",51,1639,NA,1552,25
"76",62,1734,NA,1600,33
"77",57,1695,NA,1545,22
"78",51,1666,52,1570,24
"79",50,1745,50,1550,22
"80",32,1775,32,1600,20
"81",54,1669,54,1660,20
"82",34,1700,32,1640,22
"83",45,1804,41,1670,27
"84",64,1700,61,1560,24
"85",55,1664,43,1760,31
"86",27,1753,28,1640,23
"87",55,1788,51,1600,26
"88",27,1765,NA,1571,NA
"89",41,1680,41,1550,22
"90",44,1715,41,1570,24
"91",22,1755,21,1590,21
"92",30,1764,28,1650,29
"93",53,1793,47,1690,31
"94",42,1731,37,1580,23
"95",31,1713,28,1590,28
"96",36,1725,35,1510,26
"97",56,1828,55,1600,30
"98",46,1735,45,1660,22
"99",34,1760,34,1700,23
"100",55,1685,51,1530,34
"101",44,1685,39,1490,27
"102",45,1559,35,1580,34
"103",48,1705,45,1500,28
"104",44,1723,44,1600,41
"105",59,1700,47,1570,39
"106",64,1660,57,1620,32
"107",34,1681,33,1410,22
"108",37,1803,38,1560,23
"109",54,1866,59,1590,49
"110",49,1884,46,1710,25
"111",63,1705,60,1580,27
"112",48,1780,47,1690,22
"113",64,1801,55,1610,37
"114",33,1795,45,1660,17
"115",52,1669,47,1610,23
"116",27,1708,24,1590,26
"117",33,1691,32,1530,21
"118",46,1825,47,1690,23
"119",54,1760,57,1600,23
"120",27,1949,NA,1693,25
"121",50,1685,NA,1580,21
"122",42,1806,NA,1636,22
"123",54,1905,46,1670,32
"124",49,1739,42,1600,28
"125",62,1736,63,1570,22
"126",34,1845,32,1700,24
"127",23,1868,24,1740,19
"128",36,1765,32,1540,27
"129",53,1736,NA,1555,30
"130",32,1741,NA,1614,22
"131",59,1720,56,1530,24
"132",53,1871,50,1690,25
"133",55,1720,55,1590,21
"134",62,1629,58,1610,23
"135",42,1624,38,1670,22
"136",50,1653,44,1690,35
"137",37,1786,35,1550,21
"138",51,1620,44,1650,30
"139",25,1695,25,1540,19
"140",54,1674,43,1660,35
"141",34,1864,31,1620,23
"142",43,1643,35,1630,29
"143",43,1705,41,1610,22
"144",58,1736,50,1540,32
"145",28,1691,23,1610,23
"146",45,1753,43,1630,21
"147",47,1680,49,1530,20
"148",57,1724,59,1520,24
"149",27,1710,NA,1544,20
"150",34,1638,38,1570,33
"151",57,1725,42,1580,52
"152",27,1725,21,1550,24
"153",54,1630,NA,1570,34
"154",24,1810,NA,1521,16
"155",48,1774,42,1580,30
"156",37,1771,35,1630,28
"157",25,1815,26,1650,20
"158",57,1575,57,1640,20
"159",40,1729,34,1650,26
"160",61,1749,63,1520,21
"161",25,1705,23,1620,24
"162",32,1875,NA,1744,22
"163",37,1784,NA,1647,22
"164",45,1584,NA,1615,29
"165",24,1774,23,1680,22
"166",47,1658,46,1670,24
"167",44,1790,40,1620,24
"168",52,1798,53,1570,25
"169",45,1824,40,1660,23
"170",20,1796,22,1550,19
"171",60,1725,60,1590,21
"172",36,1685,32,1620,25
"173",25,1769,24,1560,18
"174",25,1749,28,1670,21
"175",35,1716,40,1650,17
"176",35,1664,NA,1539,22
"177",49,1773,48,1470,21
"178",33,1760,33,1580,20
"179",50,1725,49,1670,23
"180",63,1645,64,1520,28
"181",57,1694,55,1620,24
"182",41,1851,41,1710,23
"183",38,1691,38,1530,20
"184",30,1880,31,1630,22
"185",52,1835,52,1720,30
