"Brand","Style","Sex","Price","MaxHeightFront","MinHeightFront","MaxWidthFront","MinWidthFront","MaxHeightBack","MinHeightBack","MaxWidthBack","MinWidthBack"
"Arizona","skinny","women",42,14.5,15,16.5,13,15,12.2,13.7,12
"Arizona","straight","women",42,14.5,14,16,12.5,15.5,12.2,13,11.2
"Ralph Lauren","skinny","women",89.5,13,13.5,14.5,12,15.5,13,13.5,12.5
"Ralph Lauren","straight","women",89.5,13,13.5,14.5,12,14.5,13,13,12.2
"Uniqlo","skinny","women",39.9,13,13,14,11.5,14,12,14.2,11.7
"Uniqlo","straight","women",39.9,15.5,12,16.5,12.5,14.5,12.5,12.5,11.5
"Calvin Klein","skinny","women",79.5,12,12,14.5,12,16.5,13.7,13,12
"Calvin Klein","straight","women",69.5,14,11.2,15.5,12,15,12,14,12.5
"Lucky","skinny","women",99,13,14.5,13.5,12.7,16,12.7,14.5,12.5
"Lucky","straight","women",79.5,15,16.5,15.5,12.2,14.5,12.7,13,11
"Levi's","skinny","women",54.5,12.5,14,15,12,14.5,11.5,12,10.5
"Levi's","straight","women",54.5,12.2,14.5,17,12.7,15.5,12.5,12.5,11.5
"Lee","skinny","women",19.94,13.7,13,18.5,14.5,14.5,12.5,14,12.5
"Lee","straight","women",19.94,13.5,13,17,14,15,12.5,14.5,12.5
"7 for All Mankind","skinny","women",199,13,13.5,15,12.5,16.5,13.7,12.5,11.5
"7 for All Mankind","straight","women",159,14,13.5,15,11.5,15.5,14,12.5,12
"True Religion","skinny","women",179,14,11,15,12,13,10.5,11.5,9.7
"True Religion","straight","women",249,14.5,11.7,14,11.7,14.7,12.5,13,9.5
"Guess","skinny","women",98,11.5,11.5,14.5,12.5,14.7,11.5,12.5,12
"Guess","straight","women",89,12.5,12,14,11.5,14.5,11.5,13.5,13
"Tommy Hilfiger","skinny","women",69.5,12.5,12.5,16,12,14,11.7,13,11.5
"Tommy Hilfiger","straight","women",69.5,15,15.5,16.7,13,15.5,13,15,12.5
"Express","skinny","women",79.9,15.7,12,16,13,16.5,12.5,14,13
"Express","straight","women",79.9,15.5,14.2,15.2,12.5,15.5,12.2,15,13
"H&M","straight","women",49.99,14.5,13,14,12,16,13.5,13,12
"H&M","skinny","women",9.99,19,13.5,14.5,12,15,13,12.5,12
"Old Navy","boot-cut","women",29.99,12,12.5,14.5,11.5,15,12,13.5,11
"Old Navy","skinny","women",29.99,14.5,12.5,14,12,16.5,13.5,13,12
"J. Crew","straight","women",125,14,14.5,15.5,12.5,15,13,14.5,13
"J. Crew","skinny","women",110,11.5,12,15,12,14.5,12,13.5,12
"Gap","boot-cut","women",69.95,14,9.5,12,11,15,12,13.5,11
"Gap","skinny","women",69.95,13,12,12.5,11.5,15.5,12.5,13,10.5
