"Month","Year","Mean"
10,59,49.45
10,59,44.14
10,59,52.72
10,59,81.11
10,59,148.62
10,59,162.83
10,59,128.93
10,59,92.16
10,59,74.85
10,59,66.92
10,59,62.05
10,59,64.47
10,59,61.75
10,59,123.27
10,59,164.2
10,59,586.98
10,59,4803.24
10,59,1205.9
10,59,570.34
10,59,1109.43
10,59,3308.79
10,59,1076.33
10,59,674.21
10,59,493.36
10,59,412.07
10,59,356.65
10,59,342.03
10,59,296.81
10,59,260.15
10,59,223.57
10,59,221.79
11,59,705.14
11,59,532.59
11,59,364.71
11,59,337.57
11,59,270.17
11,59,248.49
11,59,244.79
11,59,233.93
11,59,277.05
11,59,957.41
11,59,5593.15
11,59,2225.17
11,59,35479.31
11,59,17140.84
11,59,6021.03
11,59,2542.11
11,59,1592.14
11,59,1297.36
11,59,1280.93
11,59,1040.06
11,59,944.79
11,59,838.81
11,59,763.03
11,59,696.68
11,59,635.01
11,59,580.85
11,59,553.57
11,59,543.72
11,59,511.71
11,59,543.72
12,59,550.22
12,59,1287.67
12,59,1478.45
12,59,734.11
12,59,584.78
12,59,609.39
12,59,569.14
12,59,481.34
12,59,449.33
12,59,411.22
12,59,388.04
12,59,370.76
12,59,365.94
12,59,349.52
12,59,331.43
12,59,316.2
12,59,311.96
12,59,303.67
12,59,491.81
12,59,1491.08
12,59,2344.25
12,59,2455.06
12,59,1253.61
12,59,866.29
12,59,684.88
12,59,1221.68
12,59,1407.39
12,59,915.45
12,59,730.53
12,59,588.54
12,59,507.12
1,60,369.55
1,60,342.76
1,60,303.75
1,60,295.45
1,60,283.53
1,60,279.65
1,60,268.24
1,60,264.52
1,60,250.14
1,60,227.94
1,60,224.62
1,60,227.94
1,60,248.34
1,60,251.81
1,60,263.24
1,60,638.16
1,60,486.64
1,60,308.82
1,60,268.32
1,60,253.61
1,60,263.24
1,60,1871.3
1,60,1201.57
1,60,583.06
1,60,382.25
1,60,318.53
1,60,293.62
1,60,257.33
1,60,248.34
1,60,226.34
1,60,211.97
2,60,201.31
2,60,198.36
2,60,189.69
2,60,186.87
2,60,178.61
2,60,578.47
2,60,377.27
2,60,247.87
2,60,201.53
2,60,180
2,60,175.92
2,60,166.78
2,60,156.79
2,60,148.42
2,60,147.24
2,60,147.24
2,60,163.44
2,60,2999.64
2,60,1384.55
2,60,1220.99
2,60,918.35
2,60,651.34
2,60,509.33
2,60,435.74
2,60,398.35
2,60,403.49
2,60,759.28
2,60,694.37
2,60,552.06
3,60,1440.8
3,60,2582.34
3,60,2247.05
3,60,1189.51
3,60,923.18
3,60,765.58
3,60,634.88
3,60,512.26
3,60,455.16
3,60,413.99
3,60,390.76
3,60,370.99
3,60,352.02
3,60,335.97
3,60,333.87
3,60,575.27
3,60,270.49
3,60,241.38
3,60,234.59
3,60,215.1
3,60,210.4
3,60,201.31
3,60,198.36
3,60,188.3
3,60,178.61
3,60,177.25
3,60,177.25
3,60,177.25
3,60,175.92
3,60,166.78
3,60,157.99
4,60,155.55
4,60,148.42
4,60,147.24
4,60,147.24
4,60,147.24
4,60,147.24
4,60,147.24
4,60,146.1
4,60,139.31
4,60,139.31
4,60,143.84
4,60,131.75
4,60,129.6
4,60,128.17
4,60,119.73
4,60,118.36
4,60,118.36
4,60,118.36
4,60,118.36
4,60,118.36
4,60,127.96
4,60,180.79
4,60,141.75
4,60,110.71
4,60,99.52
4,60,99.52
4,60,106.73
4,60,106.73
4,60,99.52
4,60,99.52
5,60,106.73
5,60,106.73
5,60,99.52
5,60,99.52
5,60,106.73
5,60,106.73
5,60,98.39
5,60,89.52
5,60,82.3
5,60,81.3
5,60,81.3
5,60,82.3
5,60,87.39
5,60,81.34
5,60,74.69
5,60,72.89
5,60,67.69
5,60,66.84
5,60,66.84
5,60,66.84
5,60,66.84
5,60,66.84
5,60,67.69
5,60,74.77
5,60,238.27
5,60,3030.44
5,60,755.64
5,60,354.87
5,60,245.5
5,60,212.07
5,60,188.4
6,60,168.11
6,60,156.79
6,60,148.42
6,60,147.24
6,60,144.98
6,60,130.32
6,60,119.73
6,60,118.36
6,60,117.03
6,60,109.23
6,60,107.96
6,60,106.73
6,60,99.52
6,60,99.52
6,60,106.73
6,60,107.96
6,60,105.55
6,60,91.69
6,60,89.48
6,60,88.43
6,60,84.34
6,60,107.21
6,60,171.49
6,60,148.77
6,60,120.9
6,60,106.83
6,60,91.69
6,60,88.43
6,60,83.3
6,60,88.43
7,60,89.48
7,60,89.48
7,60,89.48
7,60,88.43
7,60,81.34
7,60,74.69
7,60,74.69
7,60,80.34
7,60,81.3
7,60,82.3
7,60,90.65
7,60,104.33
7,60,98.39
7,60,90.56
7,60,88.43
7,60,81.34
7,60,74.69
7,60,73.77
7,60,73.77
7,60,72.89
7,60,67.69
7,60,67.69
7,60,72
7,60,67.69
7,60,66.84
7,60,66.84
7,60,66.84
7,60,68.57
7,60,79.42
7,60,80.34
7,60,74.69
8,60,73.77
8,60,72.89
8,60,67.69
8,60,66.03
8,60,61.26
8,60,59.17
8,60,51.66
8,60,50.45
8,60,49.35
8,60,42.99
8,60,41.04
8,60,37.47
8,60,46.22
8,60,36.61
8,60,34.82
8,60,34.82
8,60,34.82
8,60,34.82
8,60,35.68
8,60,43.16
8,60,56.67
8,60,50.55
8,60,44.01
8,60,48.25
8,60,42.99
8,60,41.04
8,60,35.68
8,60,34.82
8,60,34.82
8,60,34.82
8,60,35.68
9,60,40.11
9,60,36.54
9,60,40.11
9,60,34.9
9,60,29.53
9,60,28.81
9,60,28.81
9,60,28.81
9,60,27.55
9,60,21.65
9,60,26.89
9,60,24.36
9,60,24.36
9,60,27.49
9,60,24.36
9,60,24.36
