"Day","Mach","Perm"
1,"A",25.35
1,"A",22.18
1,"A",41.5
1,"B",20.23
1,"B",42.46
1,"B",25.7
1,"C",85.51
1,"C",47.21
1,"C",25.06
2,"A",27.99
2,"A",37.07
2,"A",66.07
2,"B",17.42
2,"B",15.31
2,"B",32.81
2,"C",26.67
2,"C",58.61
2,"C",72.28
3,"A",82.04
3,"A",29.99
3,"A",78.34
3,"B",32.06
3,"B",37.58
3,"B",44.57
3,"C",24.1
3,"C",48.98
3,"C",22.96
4,"A",77.09
4,"A",30.55
4,"A",24.66
4,"B",47.1
4,"B",23.55
4,"B",13
4,"C",52.6
4,"C",33.73
4,"C",23.5
5,"A",59.16
5,"A",53.46
5,"A",35.08
5,"B",16.87
5,"B",24.95
5,"B",33.96
5,"C",20.89
5,"C",30.83
5,"C",21.68
6,"A",46.24
6,"A",34.59
6,"A",47.86
6,"B",25.35
6,"B",28.31
6,"B",42.36
6,"C",42.95
6,"C",40.93
6,"C",22.86
7,"A",82.79
7,"A",85.31
7,"A",134.59
7,"B",16.94
7,"B",32.21
7,"B",27.29
7,"C",21.28
7,"C",63.39
7,"C",24.27
8,"A",69.98
8,"A",61.66
8,"A",110.15
8,"B",38.28
8,"B",42.36
8,"B",19.14
8,"C",48.87
8,"C",177.01
8,"C",62.37
9,"A",34.67
9,"A",26.79
9,"A",50.58
9,"B",43.25
9,"B",11.67
9,"B",24.21
9,"C",50.47
9,"C",23.44
9,"C",69.02
