"Store","CrustDescription","Topping","Diameter","DiameterInches"
"Dominos","ThinNCrispy","Supreme",29.4,11.5748031496063
"Dominos","ThinNCrispy","BBQMeatlovers",29.63,11.6653543307087
"Dominos","DeepPan","Hawaiian",27.06,10.6535433070866
"Dominos","ThinNCrispy","Supreme",27.45,10.8070866141732
"Dominos","ClassicCrust","Hawaiian",26.59,10.4685039370079
"Dominos","DeepPan","BBQMeatlovers",27.16,10.6929133858268
"EagleBoys","MidCrust","SuperSupremo",29.15,11.4763779527559
"EagleBoys","DeepPan","Hawaiian",28.78,11.3307086614173
"EagleBoys","ThinCrust","BBQMeatlovers",30.05,11.8307086614173
"EagleBoys","DeepPan","BBQMeatlovers",29.38,11.5669291338583
"EagleBoys","ThinCrust","SuperSupremo",29.14,11.4724409448819
"EagleBoys","MidCrust","Hawaiian",29.24,11.511811023622
"EagleBoys","MidCrust","BBQMeatlovers",28.97,11.4055118110236
"EagleBoys","ThinCrust","Hawaiian",29.98,11.8031496062992
"EagleBoys","MidCrust","Hawaiian",28.93,11.3897637795276
"EagleBoys","ThinCrust","SuperSupremo",29.47,11.6023622047244
"EagleBoys","ThinCrust","SuperSupremo",30,11.8110236220472
"EagleBoys","ThinCrust","Hawaiian",30.01,11.8149606299213
"EagleBoys","MidCrust","BBQMeatlovers",28.66,11.2834645669291
"EagleBoys","ThinCrust","Hawaiian",30.44,11.9842519685039
"Dominos","ThinNCrispy","Supreme",26.38,10.3858267716535
"Dominos","ThinNCrispy","Hawaiian",28.86,11.3622047244094
"Dominos","DeepPan","BBQMeatlovers",26.6,10.4724409448819
"Dominos","ClassicCrust","Hawaiian",26.65,10.492125984252
"Dominos","DeepPan","Supreme",26.5,10.4330708661417
"Dominos","ClassicCrust","Supreme",26.55,10.4527559055118
"Dominos","DeepPan","Supreme",26.64,10.488188976378
"Dominos","ClassicCrust","BBQMeatlovers",26.15,10.2952755905512
"Dominos","ThinNCrispy","Hawaiian",28.92,11.3858267716535
"Dominos","DeepPan","Supreme",26.87,10.5787401574803
"Dominos","ClassicCrust","BBQMeatlovers",26.56,10.4566929133858
"Dominos","ClassicCrust","Hawaiian",26.65,10.492125984252
"Dominos","DeepPan","Supreme",26.61,10.4763779527559
"Dominos","ThinNCrispy","Hawaiian",28.75,11.3188976377953
"Dominos","ThinNCrispy","Supreme",29.33,11.5472440944882
"Dominos","ThinNCrispy","BBQMeatlovers",29,11.4173228346457
"Dominos","DeepPan","Hawaiian",26.34,10.3700787401575
"Dominos","ClassicCrust","BBQMeatlovers",27.2,10.7086614173228
"Dominos","ClassicCrust","BBQMeatlovers",26.61,10.4763779527559
"EagleBoys","DeepPan","SuperSupremo",28.73,11.3110236220472
"EagleBoys","DeepPan","BBQMeatlovers",28.48,11.2125984251969
"EagleBoys","DeepPan","SuperSupremo",29.01,11.4212598425197
"EagleBoys","MidCrust","BBQMeatlovers",28.73,11.3110236220472
"EagleBoys","MidCrust","Hawaiian",28.6,11.259842519685
"EagleBoys","DeepPan","Hawaiian",29.59,11.6496062992126
"EagleBoys","DeepPan","SuperSupremo",29.04,11.4330708661417
"EagleBoys","MidCrust","BBQMeatlovers",29.03,11.4291338582677
"EagleBoys","ThinCrust","BBQMeatlovers",29.75,11.7125984251969
"EagleBoys","DeepPan","SuperSupremo",28.95,11.3976377952756
"EagleBoys","DeepPan","BBQMeatlovers",29.38,11.5669291338583
"EagleBoys","MidCrust","SuperSupremo",28.72,11.3070866141732
"EagleBoys","DeepPan","SuperSupremo",28.6,11.259842519685
"EagleBoys","ThinCrust","Hawaiian",29.9,11.7716535433071
"EagleBoys","ThinCrust","Hawaiian",29.4,11.5748031496063
"EagleBoys","MidCrust","BBQMeatlovers",28.99,11.4133858267717
"Dominos","DeepPan","BBQMeatlovers",25.98,10.2283464566929
"Dominos","ThinNCrispy","Hawaiian",29.04,11.4330708661417
"Dominos","ThinNCrispy","Hawaiian",29.01,11.4212598425197
"Dominos","DeepPan","Supreme",26.67,10.5
"Dominos","ClassicCrust","BBQMeatlovers",26.97,10.6181102362205
"Dominos","ThinNCrispy","Hawaiian",29.37,11.5629921259843
"Dominos","DeepPan","Supreme",26.09,10.2716535433071
"Dominos","ThinNCrispy","Supreme",29.32,11.5433070866142
"Dominos","DeepPan","Supreme",27.12,10.6771653543307
"Dominos","DeepPan","BBQMeatlovers",26.37,10.3818897637795
"EagleBoys","ThinCrust","Hawaiian",30.35,11.9488188976378
"EagleBoys","MidCrust","SuperSupremo",29.08,11.4488188976378
"EagleBoys","DeepPan","Hawaiian",28.29,11.1377952755906
"EagleBoys","DeepPan","SuperSupremo",28.97,11.4055118110236
"Dominos","ClassicCrust","Supreme",26.83,10.5629921259843
"Dominos","DeepPan","Hawaiian",26.74,10.5275590551181
"EagleBoys","DeepPan","Hawaiian",29.82,11.740157480315
"Dominos","ThinNCrispy","BBQMeatlovers",28.67,11.2874015748031
"Dominos","ThinNCrispy","BBQMeatlovers",29.11,11.4606299212598
"Dominos","DeepPan","Hawaiian",26.45,10.4133858267717
"Dominos","ClassicCrust","Supreme",27.04,10.6456692913386
"Dominos","ClassicCrust","BBQMeatlovers",26.93,10.6023622047244
"Dominos","ClassicCrust","BBQMeatlovers",26.41,10.3976377952756
"Dominos","ThinNCrispy","Hawaiian",29.19,11.492125984252
"EagleBoys","ThinCrust","Hawaiian",29.42,11.5826771653543
"EagleBoys","MidCrust","BBQMeatlovers",28.65,11.2795275590551
"EagleBoys","ThinCrust","SuperSupremo",30.51,12.011811023622
"EagleBoys","MidCrust","Hawaiian",29.32,11.5433070866142
"EagleBoys","DeepPan","BBQMeatlovers",28.68,11.2913385826772
"Dominos","ThinNCrispy","Hawaiian",29.66,11.6771653543307
"Dominos","ThinNCrispy","Supreme",29.17,11.4842519685039
"Dominos","ClassicCrust","Hawaiian",26.78,10.5433070866142
"Dominos","DeepPan","BBQMeatlovers",26.58,10.4645669291339
"Dominos","ClassicCrust","BBQMeatlovers",27.27,10.7362204724409
"Dominos","DeepPan","Supreme",27.14,10.6850393700787
"EagleBoys","DeepPan","SuperSupremo",28.98,11.4094488188976
"EagleBoys","ThinCrust","BBQMeatlovers",29.43,11.5866141732283
"EagleBoys","MidCrust","SuperSupremo",28.54,11.2362204724409
"EagleBoys","MidCrust","Hawaiian",28.8,11.3385826771654
"EagleBoys","MidCrust","BBQMeatlovers",29.47,11.6023622047244
"EagleBoys","MidCrust","BBQMeatlovers",29.38,11.5669291338583
"EagleBoys","ThinCrust","Hawaiian",28.54,11.2362204724409
"EagleBoys","DeepPan","Hawaiian",29.68,11.6850393700787
"EagleBoys","MidCrust","BBQMeatlovers",29.19,11.492125984252
"EagleBoys","MidCrust","Hawaiian",28.79,11.3346456692913
"EagleBoys","ThinCrust","SuperSupremo",30.08,11.8425196850394
"EagleBoys","ThinCrust","SuperSupremo",29.4,11.5748031496063
"EagleBoys","DeepPan","BBQMeatlovers",28.63,11.2716535433071
"EagleBoys","MidCrust","BBQMeatlovers",28.76,11.3228346456693
"EagleBoys","DeepPan","SuperSupremo",28.76,11.3228346456693
"EagleBoys","ThinCrust","Hawaiian",30.31,11.9330708661417
"EagleBoys","MidCrust","BBQMeatlovers",28.86,11.3622047244094
"Dominos","ClassicCrust","Supreme",27.04,10.6456692913386
"Dominos","ThinNCrispy","BBQMeatlovers",28.71,11.3031496062992
"Dominos","DeepPan","Hawaiian",27,10.6299212598425
"Dominos","ClassicCrust","Hawaiian",26.77,10.5393700787402
"Dominos","ThinNCrispy","Supreme",29.19,11.492125984252
"Dominos","DeepPan","BBQMeatlovers",26.59,10.4685039370079
"EagleBoys","ThinCrust","BBQMeatlovers",29.48,11.6062992125984
"EagleBoys","MidCrust","Hawaiian",28.15,11.0826771653543
"EagleBoys","DeepPan","SuperSupremo",28.98,11.4094488188976
"EagleBoys","ThinCrust","Hawaiian",29.91,11.7755905511811
"EagleBoys","DeepPan","BBQMeatlovers",28.94,11.3937007874016
"EagleBoys","DeepPan","BBQMeatlovers",29.38,11.5669291338583
"EagleBoys","DeepPan","Hawaiian",28.86,11.3622047244094
"EagleBoys","MidCrust","SuperSupremo",28.47,11.2086614173228
"EagleBoys","ThinCrust","SuperSupremo",29.4,11.5748031496063
"EagleBoys","MidCrust","BBQMeatlovers",28.85,11.3582677165354
"EagleBoys","DeepPan","SuperSupremo",29.35,11.5551181102362
"EagleBoys","ThinCrust","Hawaiian",30.17,11.8779527559055
"EagleBoys","DeepPan","BBQMeatlovers",28.54,11.2362204724409
"Dominos","ThinNCrispy","Hawaiian",28.95,11.3976377952756
"EagleBoys","MidCrust","SuperSupremo",26.58,10.4645669291339
"Dominos","ClassicCrust","Hawaiian",26.7,10.511811023622
"Dominos","ClassicCrust","BBQMeatlovers",25.51,10.0433070866142
"Dominos","ThinNCrispy","Hawaiian",29.09,11.4527559055118
"EagleBoys","DeepPan","Hawaiian",29.92,11.7795275590551
"EagleBoys","MidCrust","BBQMeatlovers",28.34,11.1574803149606
"EagleBoys","ThinCrust","BBQMeatlovers",30.67,12.0748031496063
"EagleBoys","DeepPan","Hawaiian",29.21,11.5
"EagleBoys","MidCrust","SuperSupremo",29.08,11.4488188976378
"Dominos","DeepPan","Supreme",26.26,10.3385826771654
"Dominos","ThinNCrispy","BBQMeatlovers",29.43,11.5866141732283
"Dominos","ClassicCrust","BBQMeatlovers",26.78,10.5433070866142
"Dominos","ClassicCrust","BBQMeatlovers",26.28,10.3464566929134
"Dominos","ThinNCrispy","Hawaiian",29.21,11.5
"Dominos","DeepPan","Supreme",26.16,10.2992125984252
"Dominos","ClassicCrust","BBQMeatlovers",26.47,10.4212598425197
"Dominos","ClassicCrust","BBQMeatlovers",26.71,10.5157480314961
"Dominos","DeepPan","Supreme",26.7,10.511811023622
"Dominos","ThinNCrispy","Hawaiian",29.14,11.4724409448819
"Dominos","ThinNCrispy","Supreme",28.78,11.3307086614173
"Dominos","DeepPan","BBQMeatlovers",26.73,10.5236220472441
"Dominos","ClassicCrust","Hawaiian",26.28,10.3464566929134
"Dominos","DeepPan","Hawaiian",26.42,10.4015748031496
"EagleBoys","MidCrust","SuperSupremo",28.42,11.1889763779528
"EagleBoys","ThinCrust","SuperSupremo",31.06,12.2283464566929
"EagleBoys","DeepPan","BBQMeatlovers",28.68,11.2913385826772
"EagleBoys","ThinCrust","BBQMeatlovers",29.34,11.5511811023622
"EagleBoys","MidCrust","SuperSupremo",29.01,11.4212598425197
"EagleBoys","DeepPan","Hawaiian",29.16,11.4803149606299
"EagleBoys","DeepPan","BBQMeatlovers",29.53,11.6259842519685
"EagleBoys","ThinCrust","SuperSupremo",29.51,11.6181102362205
"EagleBoys","ThinCrust","BBQMeatlovers",28.75,11.3188976377953
"EagleBoys","DeepPan","BBQMeatlovers",28.19,11.0984251968504
"EagleBoys","MidCrust","Hawaiian",28.98,11.4094488188976
"EagleBoys","ThinCrust","SuperSupremo",29.57,11.6417322834646
"EagleBoys","ThinCrust","SuperSupremo",29.27,11.5236220472441
"EagleBoys","MidCrust","SuperSupremo",28.8,11.3385826771654
"EagleBoys","DeepPan","Hawaiian",28.48,11.2125984251969
"EagleBoys","MidCrust","Hawaiian",28.2,11.1023622047244
"EagleBoys","DeepPan","Hawaiian",29.04,11.4330708661417
"EagleBoys","MidCrust","SuperSupremo",28.79,11.3346456692913
"EagleBoys","ThinCrust","BBQMeatlovers",29.68,11.6850393700787
"EagleBoys","ThinCrust","BBQMeatlovers",29.51,11.6181102362205
"EagleBoys","MidCrust","Hawaiian",28.93,11.3897637795276
"EagleBoys","DeepPan","Hawaiian",29.19,11.492125984252
"EagleBoys","DeepPan","BBQMeatlovers",28.61,11.2637795275591
"EagleBoys","MidCrust","Hawaiian",28.29,11.1377952755906
"Dominos","DeepPan","Hawaiian",26.48,10.4251968503937
"Dominos","ThinNCrispy","Supreme",29.33,11.5472440944882
"Dominos","ClassicCrust","Hawaiian",26.58,10.4645669291339
"Dominos","DeepPan","BBQMeatlovers",26.27,10.3425196850394
"Dominos","ClassicCrust","Hawaiian",26.65,10.492125984252
"Dominos","ClassicCrust","Supreme",27.27,10.7362204724409
"Dominos","DeepPan","Hawaiian",27.04,10.6456692913386
"Dominos","ClassicCrust","Supreme",28.9,11.3779527559055
"Dominos","ClassicCrust","Hawaiian",27.15,10.6889763779528
"Dominos","DeepPan","BBQMeatlovers",27.22,10.7165354330709
"Dominos","ThinNCrispy","Supreme",29.14,11.4724409448819
"Dominos","ThinNCrispy","Supreme",29.23,11.507874015748
"Dominos","ClassicCrust","Hawaiian",26.64,10.488188976378
"Dominos","ThinNCrispy","BBQMeatlovers",28.82,11.3464566929134
"Dominos","DeepPan","BBQMeatlovers",26.77,10.5393700787402
"Dominos","ThinNCrispy","Supreme",28.32,11.1496062992126
"EagleBoys","DeepPan","Hawaiian",29,11.4173228346457
"EagleBoys","DeepPan","BBQMeatlovers",29.78,11.7244094488189
"EagleBoys","MidCrust","Hawaiian",29.81,11.7362204724409
"EagleBoys","ThinCrust","SuperSupremo",29.86,11.755905511811
"Dominos","ClassicCrust","Supreme",27.12,10.6771653543307
"Dominos","DeepPan","Hawaiian",26.55,10.4527559055118
"Dominos","ClassicCrust","Hawaiian",26.53,10.4448818897638
"Dominos","DeepPan","BBQMeatlovers",26.77,10.5393700787402
"Dominos","ThinNCrispy","BBQMeatlovers",28.64,11.2755905511811
"Dominos","ClassicCrust","Supreme",27.05,10.6496062992126
"Dominos","DeepPan","Hawaiian",26.7,10.511811023622
"Dominos","ThinNCrispy","BBQMeatlovers",28.52,11.2283464566929
"Dominos","ThinNCrispy","Supreme",28.44,11.1968503937008
"Dominos","ThinNCrispy","BBQMeatlovers",29.41,11.5787401574803
"Dominos","ClassicCrust","Supreme",26.97,10.6181102362205
"Dominos","DeepPan","BBQMeatlovers",26.6,10.4724409448819
"Dominos","ClassicCrust","Supreme",27.52,10.8346456692913
"Dominos","ThinNCrispy","BBQMeatlovers",27.04,10.6456692913386
"EagleBoys","DeepPan","Hawaiian",29.3,11.5354330708661
"EagleBoys","ThinCrust","BBQMeatlovers",30.16,11.8740157480315
"EagleBoys","MidCrust","Hawaiian",28.79,11.3346456692913
"EagleBoys","ThinCrust","SuperSupremo",29.45,11.5944881889764
"EagleBoys","DeepPan","Hawaiian",28.77,11.3267716535433
"EagleBoys","MidCrust","SuperSupremo",28.36,11.1653543307087
"Dominos","ThinNCrispy","BBQMeatlovers",29.04,11.4330708661417
"Dominos","DeepPan","Hawaiian",26.76,10.5354330708661
"Dominos","ClassicCrust","Supreme",26.79,10.5472440944882
"EagleBoys","DeepPan","Hawaiian",29.34,11.5511811023622
"EagleBoys","MidCrust","SuperSupremo",28.96,11.4015748031496
"EagleBoys","ThinCrust","BBQMeatlovers",29.71,11.6968503937008
"Dominos","ClassicCrust","Hawaiian",26.3,10.3543307086614
"Dominos","DeepPan","Hawaiian",26.6,10.4724409448819
"Dominos","ClassicCrust","Supreme",26.54,10.4488188976378
"Dominos","ThinNCrispy","BBQMeatlovers",28.94,11.3937007874016
"Dominos","ThinNCrispy","Hawaiian",28.86,11.3622047244094
"Dominos","DeepPan","Supreme",26.7,10.511811023622
"Dominos","ThinNCrispy","Hawaiian",25.58,10.0708661417323
"Dominos","DeepPan","Supreme",28.79,11.3346456692913
"Dominos","ClassicCrust","BBQMeatlovers",26.6,10.4724409448819
"EagleBoys","ThinCrust","Hawaiian",28.71,11.3031496062992
"EagleBoys","DeepPan","SuperSupremo",30.37,11.9566929133858
"EagleBoys","MidCrust","BBQMeatlovers",28.63,11.2716535433071
