"","Date","HomeTeam","AwayTeam","HomeGoals","AwayGoals","Result"
"1","09/8/2019","Liverpool","Norwich",4,1,"H"
"2","10/8/2019","West Ham","Man City",0,5,"A"
"3","10/8/2019","Bournemouth","Sheffield United",1,1,"D"
"4","10/8/2019","Burnley","Southampton",3,0,"H"
"5","10/8/2019","Crystal Palace","Everton",0,0,"D"
"6","10/8/2019","Watford","Brighton",0,3,"A"
"7","10/8/2019","Tottenham","Aston Villa",3,1,"H"
"8","11/8/2019","Leicester","Wolves",0,0,"D"
"9","11/8/2019","Newcastle","Arsenal",0,1,"A"
"10","11/8/2019","Man United","Chelsea",4,0,"H"
"11","17/8/2019","Arsenal","Burnley",2,1,"H"
"12","17/8/2019","Aston Villa","Bournemouth",1,2,"A"
"13","17/8/2019","Brighton","West Ham",1,1,"D"
"14","17/8/2019","Everton","Watford",1,0,"H"
"15","17/8/2019","Norwich","Newcastle",3,1,"H"
"16","17/8/2019","Southampton","Liverpool",1,2,"A"
"17","17/8/2019","Man City","Tottenham",2,2,"D"
"18","18/8/2019","Sheffield United","Crystal Palace",1,0,"H"
"19","18/8/2019","Chelsea","Leicester",1,1,"D"
"20","19/8/2019","Wolves","Man United",1,1,"D"
"21","23/8/2019","Aston Villa","Everton",2,0,"H"
"22","24/8/2019","Norwich","Chelsea",2,3,"A"
"23","24/8/2019","Brighton","Southampton",0,2,"A"
"24","24/8/2019","Man United","Crystal Palace",1,2,"A"
"25","24/8/2019","Sheffield United","Leicester",1,2,"A"
"26","24/8/2019","Watford","West Ham",1,3,"A"
"27","24/8/2019","Liverpool","Arsenal",3,1,"H"
"28","25/8/2019","Bournemouth","Man City",1,3,"A"
"29","25/8/2019","Tottenham","Newcastle",0,1,"A"
"30","25/8/2019","Wolves","Burnley",1,1,"D"
"31","31/8/2019","Southampton","Man United",1,1,"D"
"32","31/8/2019","Chelsea","Sheffield United",2,2,"D"
"33","31/8/2019","Crystal Palace","Aston Villa",1,0,"H"
"34","31/8/2019","Leicester","Bournemouth",3,1,"H"
"35","31/8/2019","Man City","Brighton",4,0,"H"
"36","31/8/2019","Newcastle","Watford",1,1,"D"
"37","31/8/2019","West Ham","Norwich",2,0,"H"
"38","31/8/2019","Burnley","Liverpool",0,3,"A"
"39","01/9/2019","Everton","Wolves",3,2,"H"
"40","01/9/2019","Arsenal","Tottenham",2,2,"D"
"41","14/9/2019","Liverpool","Newcastle",3,1,"H"
"42","14/9/2019","Brighton","Burnley",1,1,"D"
"43","14/9/2019","Man United","Leicester",1,0,"H"
"44","14/9/2019","Sheffield United","Southampton",0,1,"A"
"45","14/9/2019","Tottenham","Crystal Palace",4,0,"H"
"46","14/9/2019","Wolves","Chelsea",2,5,"A"
"47","14/9/2019","Norwich","Man City",3,2,"H"
"48","15/9/2019","Bournemouth","Everton",3,1,"H"
"49","15/9/2019","Watford","Arsenal",2,2,"D"
"50","16/9/2019","Aston Villa","West Ham",0,0,"D"
"51","20/9/2019","Southampton","Bournemouth",1,3,"A"
"52","21/9/2019","Leicester","Tottenham",2,1,"H"
"53","21/9/2019","Burnley","Norwich",2,0,"H"
"54","21/9/2019","Everton","Sheffield United",0,2,"A"
"55","21/9/2019","Man City","Watford",8,0,"H"
"56","21/9/2019","Newcastle","Brighton",0,0,"D"
"57","22/9/2019","Crystal Palace","Wolves",1,1,"D"
"58","22/9/2019","West Ham","Man United",2,0,"H"
"59","22/9/2019","Arsenal","Aston Villa",3,2,"H"
"60","22/9/2019","Chelsea","Liverpool",1,2,"A"
"61","28/9/2019","Sheffield United","Liverpool",0,1,"A"
"62","28/9/2019","Aston Villa","Burnley",2,2,"D"
"63","28/9/2019","Bournemouth","West Ham",2,2,"D"
"64","28/9/2019","Chelsea","Brighton",2,0,"H"
"65","28/9/2019","Crystal Palace","Norwich",2,0,"H"
"66","28/9/2019","Tottenham","Southampton",2,1,"H"
"67","28/9/2019","Wolves","Watford",2,0,"H"
"68","28/9/2019","Everton","Man City",1,3,"A"
"69","29/9/2019","Leicester","Newcastle",5,0,"H"
"70","30/9/2019","Man United","Arsenal",1,1,"D"
"71","05/10/2019","Brighton","Tottenham",3,0,"H"
"72","05/10/2019","Burnley","Everton",1,0,"H"
"73","05/10/2019","Liverpool","Leicester",2,1,"H"
"74","05/10/2019","Norwich","Aston Villa",1,5,"A"
"75","05/10/2019","Watford","Sheffield United",0,0,"D"
"76","05/10/2019","West Ham","Crystal Palace",1,2,"A"
"77","06/10/2019","Arsenal","Bournemouth",1,0,"H"
"78","06/10/2019","Man City","Wolves",0,2,"A"
"79","06/10/2019","Southampton","Chelsea",1,4,"A"
"80","06/10/2019","Newcastle","Man United",1,0,"H"
"81","19/10/2019","Everton","West Ham",2,0,"H"
"82","19/10/2019","Aston Villa","Brighton",2,1,"H"
"83","19/10/2019","Bournemouth","Norwich",0,0,"D"
"84","19/10/2019","Chelsea","Newcastle",1,0,"H"
"85","19/10/2019","Leicester","Burnley",2,1,"H"
"86","19/10/2019","Tottenham","Watford",1,1,"D"
"87","19/10/2019","Wolves","Southampton",1,1,"D"
"88","19/10/2019","Crystal Palace","Man City",0,2,"A"
"89","20/10/2019","Man United","Liverpool",1,1,"D"
"90","21/10/2019","Sheffield United","Arsenal",1,0,"H"
"91","25/10/2019","Southampton","Leicester",0,9,"A"
"92","26/10/2019","Man City","Aston Villa",3,0,"H"
"93","26/10/2019","Brighton","Everton",3,2,"H"
"94","26/10/2019","Watford","Bournemouth",0,0,"D"
"95","26/10/2019","West Ham","Sheffield United",1,1,"D"
"96","26/10/2019","Burnley","Chelsea",2,4,"A"
"97","27/10/2019","Newcastle","Wolves",1,1,"D"
"98","27/10/2019","Arsenal","Crystal Palace",2,2,"D"
"99","27/10/2019","Liverpool","Tottenham",2,1,"H"
"100","27/10/2019","Norwich","Man United",1,3,"A"
"101","02/11/2019","Bournemouth","Man United",1,0,"H"
"102","02/11/2019","Arsenal","Wolves",1,1,"D"
"103","02/11/2019","Aston Villa","Liverpool",1,2,"A"
"104","02/11/2019","Brighton","Norwich",2,0,"H"
"105","02/11/2019","Man City","Southampton",2,1,"H"
"106","02/11/2019","Sheffield United","Burnley",3,0,"H"
"107","02/11/2019","West Ham","Newcastle",2,3,"A"
"108","02/11/2019","Watford","Chelsea",1,2,"A"
"109","03/11/2019","Crystal Palace","Leicester",0,2,"A"
"110","03/11/2019","Everton","Tottenham",1,1,"D"
"111","08/11/2019","Norwich","Watford",0,2,"A"
"112","09/11/2019","Chelsea","Crystal Palace",2,0,"H"
"113","09/11/2019","Burnley","West Ham",3,0,"H"
"114","09/11/2019","Newcastle","Bournemouth",2,1,"H"
"115","09/11/2019","Southampton","Everton",1,2,"A"
"116","09/11/2019","Tottenham","Sheffield United",1,1,"D"
"117","09/11/2019","Leicester","Arsenal",2,0,"H"
"118","10/11/2019","Man United","Brighton",3,1,"H"
"119","10/11/2019","Wolves","Aston Villa",2,1,"H"
"120","10/11/2019","Liverpool","Man City",3,1,"H"
"121","23/11/2019","West Ham","Tottenham",2,3,"A"
"122","23/11/2019","Arsenal","Southampton",2,2,"D"
"123","23/11/2019","Bournemouth","Wolves",1,2,"A"
"124","23/11/2019","Brighton","Leicester",0,2,"A"
"125","23/11/2019","Crystal Palace","Liverpool",1,2,"A"
"126","23/11/2019","Everton","Norwich",0,2,"A"
"127","23/11/2019","Watford","Burnley",0,3,"A"
"128","23/11/2019","Man City","Chelsea",2,1,"H"
"129","24/11/2019","Sheffield United","Man United",3,3,"D"
"130","25/11/2019","Aston Villa","Newcastle",2,0,"H"
"131","30/11/2019","Newcastle","Man City",2,2,"D"
"132","30/11/2019","Burnley","Crystal Palace",0,2,"A"
"133","30/11/2019","Chelsea","West Ham",0,1,"A"
"134","30/11/2019","Liverpool","Brighton",2,1,"H"
"135","30/11/2019","Tottenham","Bournemouth",3,2,"H"
"136","30/11/2019","Southampton","Watford",2,1,"H"
"137","01/12/2019","Norwich","Arsenal",2,2,"D"
"138","01/12/2019","Wolves","Sheffield United",1,1,"D"
"139","01/12/2019","Leicester","Everton",2,1,"H"
"140","01/12/2019","Man United","Aston Villa",2,2,"D"
"141","03/12/2019","Crystal Palace","Bournemouth",1,0,"H"
"142","03/12/2019","Burnley","Man City",1,4,"A"
"143","04/12/2019","Chelsea","Aston Villa",2,1,"H"
"144","04/12/2019","Leicester","Watford",2,0,"H"
"145","04/12/2019","Man United","Tottenham",2,1,"H"
"146","04/12/2019","Southampton","Norwich",2,1,"H"
"147","04/12/2019","Wolves","West Ham",2,0,"H"
"148","04/12/2019","Liverpool","Everton",5,2,"H"
"149","05/12/2019","Sheffield United","Newcastle",0,2,"A"
"150","05/12/2019","Arsenal","Brighton",1,2,"A"
"151","07/12/2019","Everton","Chelsea",3,1,"H"
"152","07/12/2019","Bournemouth","Liverpool",0,3,"A"
"153","07/12/2019","Tottenham","Burnley",5,0,"H"
"154","07/12/2019","Watford","Crystal Palace",0,0,"D"
"155","07/12/2019","Man City","Man United",1,2,"A"
"156","08/12/2019","Aston Villa","Leicester",1,4,"A"
"157","08/12/2019","Newcastle","Southampton",2,1,"H"
"158","08/12/2019","Norwich","Sheffield United",1,2,"A"
"159","08/12/2019","Brighton","Wolves",2,2,"D"
"160","09/12/2019","West Ham","Arsenal",1,3,"A"
"161","14/12/2019","Liverpool","Watford",2,0,"H"
"162","14/12/2019","Burnley","Newcastle",1,0,"H"
"163","14/12/2019","Chelsea","Bournemouth",0,1,"A"
"164","14/12/2019","Leicester","Norwich",1,1,"D"
"165","14/12/2019","Sheffield United","Aston Villa",2,0,"H"
"166","14/12/2019","Southampton","West Ham",0,1,"A"
"167","15/12/2019","Man United","Everton",1,1,"D"
"168","15/12/2019","Wolves","Tottenham",1,2,"A"
"169","15/12/2019","Arsenal","Man City",0,3,"A"
"170","16/12/2019","Crystal Palace","Brighton",1,1,"D"
"171","21/12/2019","Everton","Arsenal",0,0,"D"
"172","21/12/2019","Aston Villa","Southampton",1,3,"A"
"173","21/12/2019","Bournemouth","Burnley",0,1,"A"
"174","21/12/2019","Brighton","Sheffield United",0,1,"A"
"175","21/12/2019","Newcastle","Crystal Palace",1,0,"H"
"176","21/12/2019","Norwich","Wolves",1,2,"A"
"177","21/12/2019","Man City","Leicester",3,1,"H"
"178","22/12/2019","Watford","Man United",2,0,"H"
"179","22/12/2019","Tottenham","Chelsea",0,2,"A"
"180","26/12/2019","Tottenham","Brighton",2,1,"H"
"181","26/12/2019","Aston Villa","Norwich",1,0,"H"
"182","26/12/2019","Bournemouth","Arsenal",1,1,"D"
"183","26/12/2019","Chelsea","Southampton",0,2,"A"
"184","26/12/2019","Crystal Palace","West Ham",2,1,"H"
"185","26/12/2019","Everton","Burnley",1,0,"H"
"186","26/12/2019","Sheffield United","Watford",1,1,"D"
"187","26/12/2019","Man United","Newcastle",4,1,"H"
"188","26/12/2019","Leicester","Liverpool",0,4,"A"
"189","27/12/2019","Wolves","Man City",3,2,"H"
"190","28/12/2019","Brighton","Bournemouth",2,0,"H"
"191","28/12/2019","Newcastle","Everton",1,2,"A"
"192","28/12/2019","Southampton","Crystal Palace",1,1,"D"
"193","28/12/2019","Watford","Aston Villa",3,0,"H"
"194","28/12/2019","Norwich","Tottenham",2,2,"D"
"195","28/12/2019","West Ham","Leicester",1,2,"A"
"196","28/12/2019","Burnley","Man United",0,2,"A"
