"","Reaction","Group"
"1",636,"Phone"
"2",623,"Phone"
"3",615,"Phone"
"4",672,"Phone"
"5",601,"Phone"
"6",600,"Phone"
"7",542,"Phone"
"8",554,"Phone"
"9",543,"Phone"
"10",520,"Phone"
"11",609,"Phone"
"12",559,"Phone"
"13",595,"Phone"
"14",565,"Phone"
"15",573,"Phone"
"16",554,"Phone"
"17",626,"Phone"
"18",501,"Phone"
"19",574,"Phone"
"20",468,"Phone"
"21",578,"Phone"
"22",560,"Phone"
"23",525,"Phone"
"24",647,"Phone"
"25",456,"Phone"
"26",688,"Phone"
"27",679,"Phone"
"28",960,"Phone"
"29",558,"Phone"
"30",482,"Phone"
"31",527,"Phone"
"32",536,"Phone"
"33",557,"Control"
"34",572,"Control"
"35",457,"Control"
"36",489,"Control"
"37",532,"Control"
"38",506,"Control"
"39",648,"Control"
"40",485,"Control"
"41",610,"Control"
"42",444,"Control"
"43",626,"Control"
"44",626,"Control"
"45",426,"Control"
"46",585,"Control"
"47",487,"Control"
"48",436,"Control"
"49",642,"Control"
"50",476,"Control"
"51",586,"Control"
"52",565,"Control"
"53",617,"Control"
"54",528,"Control"
"55",578,"Control"
"56",472,"Control"
"57",485,"Control"
"58",539,"Control"
"59",523,"Control"
"60",479,"Control"
"61",535,"Control"
"62",603,"Control"
"63",512,"Control"
"64",449,"Control"
