"Age","Weight"
4.4,2.42
4.4,4.45
4.4,5.24
4.4,3.19
4.4,3.9
4.4,3.26
4.4,3.07
4.8,4.48
4.8,3.18
5.4,3.36
5.4,3.61
5.4,3.71
5.4,3.57
5.4,3.33
5.4,2.72
5.4,3.64
5.4,2.61
5.4,3.89
5.4,3.3
5.4,2.62
5.4,3.1
5.8,4.03
6.4,3.36
6.4,3.19
6.4,3.32
6.4,2.78
6.4,3.38
6.4,3.07
6.4,3.22
6.4,3.05
6.4,3.79
6.4,3.15
6.4,2.69
7.4,3.92
7.4,3.07
7.4,2.54
7.4,3.82
7.4,3.1
7.4,3.56
7.4,2.6
7.4,3.56
7.8,3.8
7.8,3.49
8.4,3.25
8.4,1.84
8.4,2.41
8.4,2.86
8.4,2.88
8.4,2.35
8.4,2.94
8.4,2.99
8.4,2.76
8.4,2.4
8.4,2.67
8.4,2.97
8.4,2.61
9.4,1.89
9.4,1.8
9.4,2.62
9.4,1.92
9.4,3.75
9.4,4.6
9.4,2.31
9.4,2.26
9.4,3.48
9.4,2.86
9.4,2.38
9.8,2.82
10.4,1.09
10.4,2.69
10.4,2.48
10.4,2.72
11.4,2.1
12.4,2.72
12.8,1.71
13.4,2.14
13.4,2.76
14.4,1.57
