"","Removal","Temp"
"1",98.09,7.68
"2",98.25,6.51
"3",97.82,6.43
"4",97.82,5.48
"5",97.82,6.57
"6",97.93,10.22
"7",98.38,15.69
"8",98.89,16.77
"9",98.96,17.13
"10",98.9,17.63
"11",98.68,16.72
"12",98.69,15.45
"13",98.51,12.06
"14",98.09,11.44
"15",98.25,10.17
"16",98.36,9.64
"17",98.27,8.55
"18",98,7.57
"19",98.09,6.94
"20",98.25,8.32
"21",98.41,10.5
"22",98.51,16.02
"23",98.71,17.83
"24",98.79,17.03
"25",98.87,16.18
"26",98.76,16.26
"27",98.58,14.44
"28",98.73,12.78
"29",98.45,12.25
"30",98.37,11.69
"31",98.36,11.34
"32",98.45,10.97
