"ID","Trial","Speed","HRM","NOVA","RDP","Footpod","Video"
1,1,13,69.08,60.69,72.2,49.97,69.85
1,1,9,81.06,71.18,86.2,59.55,81.03
1,1,10,76.83,66.68,78.83,58.13,75.28
1,1,12,83.3,72.42,83.94,63,80.57
1,1,11,84.5,73.06,87.27,63.27,84.79
1,2,10,80.17,69.48,82.94,60.7,76.79
1,2,13,76.25,65.77,77.71,57.55,74.17
1,2,9,79.83,70.85,85.1,61.47,77.85
1,2,11,83.01,71.39,85.08,61.21,79.04
1,2,12,82.53,70.2,83.31,61.43,78.23
2,1,12,69,49.41,65.77,68.97,53.59
2,1,13,70.33,49.09,69.82,58.66,52.87
2,1,10,67.95,51.64,69.74,56.83,55.34
2,1,14,63.71,45.67,64.4,55.47,48.14
2,1,11,68.91,50.44,66.37,58.66,53.85
2,2,13,72.6,51.81,71.4,60.23,52.59
2,2,12,80.78,54.14,75.05,72.27,58.49
2,2,14,71.73,49.55,69.37,59.41,53.17
2,2,10,83.52,60.62,82.4,65.6,63.61
2,2,11,78.25,54.56,78.33,62.9,56.42
3,1,11,94.67,70.41,75.73,65.67,84.46
3,1,9,93.77,71.2,77.17,61.62,87.92
3,1,10,95.7,73.1,78.38,63.79,88.17
3,1,12,92.99,70.13,75.62,66.27,84.74
3,1,8,90.58,69.18,78.8,57.72,85
3,2,12,94.7,65.97,75.53,64.62,81.98
3,2,10,93.79,67.44,76.25,61.9,84.32
3,2,8,86.99,67.51,76,56.17,83.49
3,2,9,88.53,67.12,75.5,59.97,85.21
3,2,11,91.79,68.34,76.3,65.45,83.16
4,1,8,88.2,73.96,106.92,68.67,86.28
4,1,9,94.82,78.64,116.24,70.63,89.56
4,1,12,89.53,71.68,109.34,67.55,87.48
4,1,10,96.74,79.77,119.4,70.33,92.39
4,1,11,95.83,79.38,121.34,73.17,93.15
4,2,11,94.1,76.02,114.77,70.38,85.53
4,2,9,93,78.61,116.8,66.87,85.58
4,2,8,94.23,79.31,115.4,66.17,90.23
4,2,12,96.64,76.83,111.63,73.9,93.59
4,2,10,101.17,82.3,122.62,73.9,91.68
5,1,12,107.15,96.13,110.87,78.93,109.36
5,1,16,100.69,87.28,99.5,74.17,97.36
5,1,15,103.68,89.37,105.02,76.48,99.82
5,1,14,109.7,97.41,111.9,84.38,107.8
5,1,13,112.43,103.69,115.48,87.17,114.08
5,2,16,101.17,84.54,100.93,73.93,96.81
5,2,14,108.89,95.73,113.56,82.27,108.65
5,2,15,108.74,95.42,113.32,83.6,109.53
5,2,12,113.97,104.62,121.71,85.63,117.46
5,2,13,115.37,106.29,120.34,90.28,117.7
6,1,11,106.8,88.18,92.83,71.33,93.03
6,1,9,106.84,89.93,94.7,64.27,94.27
6,1,12,105.58,88.66,92.97,73.34,95.88
6,1,13,108.09,89.73,94.83,77.03,95.19
6,1,10,112.18,98.72,102.21,74.03,102.62
6,2,9,109.83,96.09,100.7,69.33,101.13
6,2,12,110.49,91.01,96.88,77,102.08
6,2,10,111.05,95.14,100.56,73.79,100.6
6,2,11,114.98,97.63,102.17,78.03,103.63
6,2,13,113.29,94.61,96.72,81.27,104.4
7,1,11,135.93,83.07,95.73,90.63,88.31
7,1,9,133.47,87.91,99.1,86.8,93.91
7,1,10,129.03,87.11,97.33,88.17,91.76
7,1,12,133,77.03,87.58,89.55,83.05
7,1,8,129.08,92.55,107.06,89.5,95.18
7,2,12,140,82.33,93.41,92.97,87.05
7,2,10,136.27,87.42,99.21,91.83,93.23
7,2,8,140.67,101.05,111.6,93.07,103.1
7,2,9,134.98,92.46,103.14,90.72,95.67
7,2,11,137.87,84.01,94.73,93.3,90.95
8,1,8,121.33,90.62,109.76,75.52,92.44
8,1,9,121.8,86.31,108,76.93,91.15
8,1,11,130.45,90.78,116.31,87.17,93.07
8,1,7,121.21,86.08,109.31,67.72,91.98
8,1,10,131.67,92.01,115.63,86,95.46
8,2,7,120.17,88.06,111.5,69.93,94.6
8,2,10,130.7,90.15,117.71,84.77,94.31
8,2,9,130.87,92.83,118.2,81.69,95.71
8,2,8,126.47,91.54,117.14,74.9,98.23
