"SD.temperatures","SD.fertilization","SD.speeds","SD.motility"
"8","92","178","66"
"8","56","232","60"
"8","70","201","57"
"10","88","228","93"
"10","64","299","77"
"10","70","182","63"
"12","74","253","63"
"12","98","258","68"
"12","92","251","75"
"14","80","243","50"
"14","98","291","65"
"14","92","277","84"
"16","100","283","75"
"16","88","284","68"
"16","80","290","100"
"18","82","212","76"
"18","92","206","66"
"18","94","222","56"
"20","88","184","68"
"20","91","177","45"
"20","91","169","58"
"22","84","155","47"
"22","88","165","17"
"22","90","168","58"
"24","91","168","79"
"24","94","150","30"
"24","93","104","30"
"26","64","138","44"
"26","70","119","33"
"26","65","174","59"
"34","29","22","16"
"34","36","8","10"
"34","31","46","17"
"38","2","0","0"
"38","1","25","2"
"38","1","0","0"
