"Crayfish","Sex","SVL","Teeth"
"N","male",53,32
"N","male",48.5,40
"N","male",48.5,34
"N","male",36,32
"N","male",46.5,37
"N","male",41.5,38
"N","male",44.5,38
"N","male",45.2,33
"N","male",46,32
"N","male",36.5,42
"N","male",38,36
"N","male",37.5,34
"N","male",25.2,40
"N","male",19.3,36
"N","male",36.8,34
"N","male",39.5,NA
"N","male",42.5,27
"N","male",53.5,NA
"N","male",59.5,26
"N","male",44.5,35
"N","male",38.5,26
"N","male",NA,NA
"N","male",NA,23
"N","male",NA,25
"N","male",NA,NA
"N","male",NA,NA
"N","male",48,37
"N","male",34.5,35
"N","male",34.5,33
"N","male",47.5,32
"N","male",31.4,31
"N","male",42.5,28
"N","male",28.5,32
"N","male",21.5,31
"N","male",34,33
"N","male",38.6,35
"N","male",44,28
"N","male",27.8,32
"N","male",22.5,22
"N","male",40.5,40
"N","male",21.2,30
"N","male",25,26
"N","male",26.5,25
"N","male",49.2,32
"N","male",31.8,35
"N","male",59,31
"N","male",21.5,25
"N","male",33.5,28
"N","male",26,34
"N","male",19.5,28
"N","male",44,26
"N","male",20.3,28
"N","male",46,30
"N","male",45.8,35
"N","male",29,28
"N","male",29.3,30
"N","male",47.5,24
"N","female",52,39
"N","female",NA,NA
"N","female",NA,NA
"N","female",47.5,NA
"N","female",NA,NA
"N","female",29,NA
"N","female",39.5,42
"N","female",48,38
"N","female",49.5,38
"N","female",43,32
"N","female",44.5,28
"N","female",36.5,34
"N","female",43.5,42
"N","female",51.2,38
"N","female",34.8,36
"N","female",33.2,31
"N","female",26.5,36
"N","female",40,40
"N","female",52.5,31
"N","female",NA,31
"N","female",48.5,25
"N","female",48.5,NA
"N","female",47,31
"N","female",38.5,27
"N","female",44,27
"N","female",43,33
"N","female",47.5,33
"N","female",48.5,28
"N","female",40,26
"N","female",34,30
"N","female",54,40
"N","female",NA,31
"N","female",43,25
"N","female",24,28
"N","female",36.2,33
"N","female",38.8,36
"N","female",48,32
"N","female",45,36
"N","female",50,36
"N","female",26,32
"N","female",37.5,29
"N","female",43.5,38
"N","female",58,43
"N","female",42.5,34
"N","female",44.5,26
"N","female",43.5,27
"Y","",NA,40
"Y","",NA,28
"Y","",NA,35
"Y","male",NA,32
"Y","male",48,36
"Y","male",42.5,32
"Y","male",52,34
"Y","male",NA,34
"Y","male",48,34
"Y","male",44.5,33
"Y","male",52,34
"Y","male",56.5,32
"Y","male",22.5,39
"Y","male",50,32
"Y","male",NA,31
"Y","male",48,35
"Y","male",47,30
"Y","male",43,30
"Y","male",47,37
"Y","male",44,34
"Y","male",32,42
"Y","male",49,42
"Y","male",50,39
"Y","male",50.5,38
"Y","male",54,34
"Y","male",35.5,36
"Y","male",40,42
"Y","male",37,34
"Y","male",42,37
"Y","male",26.5,29
"Y","male",26.5,28
"Y","male",NA,30
"Y","male",38,32
"Y","male",34.5,42
"Y","male",46.5,34
"Y","male",NA,28
"Y","male",NA,44
"Y","male",15,38
"Y","male",42,35
"Y","male",NA,35
"Y","male",30.5,34
"Y","male",39.5,28
"Y","male",41,41
"Y","male",38.5,35
"Y","male",45.5,30
"Y","male",NA,30
"Y","male",34,29
"Y","male",50,39
"Y","male",26,33
"Y","male",49,32
"Y","male",23,36
"Y","male",44,26
"Y","male",36,40
"Y","male",45,34
"Y","male",43,35
"Y","male",46.5,32
"Y","male",37,32
"Y","female",51,34
"Y","female",15.5,35
"Y","female",38,38
"Y","female",44,38
"Y","female",40.5,39
"Y","female",26,35
"Y","female",21,32
"Y","female",34,34
"Y","female",46.5,32
"Y","female",46.5,44
"Y","female",19,37
"Y","female",22.5,33
"Y","female",19.5,36
"Y","female",55.5,38
"Y","female",47,30
"Y","female",46.5,38
"Y","female",32.5,33
"Y","female",NA,34
"Y","female",39,32
"Y","female",26,30
"Y","female",23.5,29
"Y","female",NA,28
"Y","female",NA,32
"Y","female",NA,24
"Y","female",49,30
"Y","female",33.5,40
"Y","female",40,32
"Y","female",38.5,37
"Y","female",20.5,32
"Y","female",46.5,36
"Y","female",17,32
"Y","female",49,32
"Y","female",17.5,32
"Y","female",24.5,34
"Y","female",NA,34
"Y","female",17.5,31
"Y","female",31.5,34
"Y","female",20,34
"Y","female",52,35
"Y","female",45,36
