"IrrigatedC","NonirrigatedC","IrrigatedN","NonirrigatedN"
3.4,3.7,0.35,0.38
4.4,4.7,0.42,0.43
2.8,2.5,0.27,0.23
1.8,2.5,0.18,0.24
6.7,7,0.56,0.58
3.3,2.8,0.34,0.26
2.6,2.7,0.26,0.25
5.9,4.9,0.58,0.44
5.6,5.4,0.5,0.49
5,5.8,0.47,0.55
5.8,6.1,0.55,0.55
4.7,5.1,0.41,0.45
5.9,6.8,0.51,0.54
5.2,6.3,0.47,0.56
2.9,3.5,0.27,0.33
3.1,3.4,0.29,0.31
4.2,4.4,0.4,0.43
2.7,2.9,0.26,0.26
5.6,5.5,0.52,0.53
3.1,4.2,0.3,0.41
1.7,2.9,0.2,0.32
2.7,2.7,0.3,0.3
2.6,2.6,0.24,0.26
5,6.9,0.49,0.67
2.6,3,0.27,0.29
4.4,4.7,0.44,0.47
2.7,2.9,0.27,0.28
4,5.2,0.4,0.5
