"When","Speed"
"Before",90
"Before",83.1
"Before",93.9
"Before",113.7
"Before",120
"Before",108
"Before",98.2
"Before",90
"Before",90
"Before",108
"Before",102.9
"Before",108
"Before",83.1
"Before",72
"Before",98.2
"Before",102.9
"Before",108
"Before",120
"Before",127.1
"Before",72
"Before",80
"Before",86.4
"Before",80
"Before",90
"Before",98.2
"Before",90
"Before",102.9
"Before",102.9
"Before",113.7
"Before",108
"Before",93.9
"Before",98.2
"Before",108
"Before",108
"Before",102.9
"Before",102.9
"Before",86.4
"Before",83.1
"After",98.2
"After",102.9
"After",93.9
"After",98.2
"After",80
"After",86.4
"After",102.9
"After",83.1
"After",98.2
"After",98.2
"After",93.9
"After",98.2
"After",67.5
"After",98.2
"After",93.9
"After",98.2
"After",63.5
"After",83.1
"After",93.9
"After",93.9
"After",120
"After",93.9
"After",77.1
"After",86.4
"After",98.2
"After",108
"After",74.5
"After",102.9
"After",90
"After",98.2
"After",108
"After",86.4
"After",113.7
"After",72
"After",98.2
"After",93.9
"After",69.7
"After",113.7
"After",102.9
"After",72
"After",80
