"","Student","Week1","Week12","GainWt"
"1","Student 1",77,75.6,-1.4
"2","Student 2",49.5,50,0.5
"3","Student 3",60.3,61.2,0.9
"4","Student 4",51.8,53.6,1.8
"5","Student 5",67.5,69.8,2.3
"6","Student 6",46.8,47.7,0.9
"7","Student 7",63.9,66.6,2.7
"8","Student 8",54,55.8,1.8
"9","Student 9",64.8,66.6,1.8
"10","Student 10",70.2,69.3,-0.9
"11","Student 11",51.3,51.3,0
"12","Student 12",54.5,55.4,0.9
"13","Student 13",54.9,56.7,1.8
"14","Student 14",54,51.8,-2.2
"15","Student 15",51.8,53.1,1.3
"16","Student 16",49.5,50.9,1.4
"17","Student 17",63.9,65.7,1.8
"18","Student 18",57.1,57.1,0
"19","Student 19",45.9,47.2,1.3
"20","Student 20",56.2,56.2,0
"21","Student 21",70.7,71.1,0.4
"22","Student 22",53.6,56.7,3.1
"23","Student 23",50.9,51.3,0.4
"24","Student 24",54,57.6,3.6
"25","Student 25",60.8,62.6,1.8
"26","Student 26",66.6,67.5,0.9
"27","Student 27",49.5,50.4,0.9
"28","Student 28",72,73.4,1.4
"29","Student 29",99,100.8,1.8
"30","Student 30",59.4,59.9,0.5
"31","Student 31",65.2,66.2,1
"32","Student 32",63.5,63.5,0
"33","Student 33",71.1,72,0.9
"34","Student 34",60.8,60.3,-0.5
"35","Student 35",66.6,67.5,0.9
"36","Student 36",73.8,74.2,0.4
"37","Student 37",61.6,62.1,0.5
"38","Student 38",89.1,90.4,1.3
"39","Student 39",54.9,55.8,0.9
"40","Student 40",65.7,65.7,0
"41","Student 41",67.5,68,0.5
"42","Student 42",84.2,86.4,2.2
"43","Student 43",42.3,43.2,0.9
"44","Student 44",47.2,47.2,0
"45","Student 45",57.1,58.5,1.4
"46","Student 46",63.9,64.8,0.9
"47","Student 47",63,64.4,1.4
"48","Student 48",48.1,48.1,0
"49","Student 49",46.8,47.2,0.4
"50","Student 50",50,50.4,0.4
"51","Student 51",72,72.9,0.9
"52","Student 52",60.3,60.3,0
"53","Student 53",68,68,0
"54","Student 54",57.1,58.5,1.4
"55","Student 55",47.7,48.6,0.9
"56","Student 56",83.2,84.6,1.4
"57","Student 57",56.2,57.6,1.4
"58","Student 58",56.2,56.7,0.5
"59","Student 59",69.8,71.1,1.3
"60","Student 60",53.1,54,0.9
"61","Student 61",67,67.5,0.5
"62","Student 62",67,67,0
"63","Student 63",54.9,54.5,-0.4
"64","Student 64",69.8,71.1,1.3
"65","Student 65",72,72.4,0.4
"66","Student 66",51.8,53.6,1.8
"67","Student 67",75.2,76.5,1.3
"68","Student 68",59,59,0
