"","Meals","Live"
"1","Most off-campus","Living with parents"
"2","Most off-campus","Living with parents"
"3","Most off-campus","Living with parents"
"4","Most off-campus","Living with parents"
"5","Most off-campus","Living with parents"
"6","Most off-campus","Living with parents"
"7","Most off-campus","Living with parents"
"8","Most off-campus","Living with parents"
"9","Most off-campus","Living with parents"
"10","Most off-campus","Living with parents"
"11","Most off-campus","Living with parents"
"12","Most off-campus","Living with parents"
"13","Most off-campus","Living with parents"
"14","Most off-campus","Living with parents"
"15","Most off-campus","Living with parents"
"16","Most off-campus","Living with parents"
"17","Most off-campus","Living with parents"
"18","Most off-campus","Living with parents"
"19","Most off-campus","Living with parents"
"20","Most off-campus","Living with parents"
"21","Most off-campus","Living with parents"
"22","Most off-campus","Living with parents"
"23","Most off-campus","Living with parents"
"24","Most off-campus","Living with parents"
"25","Most off-campus","Living with parents"
"26","Most off-campus","Living with parents"
"27","Most off-campus","Living with parents"
"28","Most off-campus","Living with parents"
"29","Most off-campus","Living with parents"
"30","Most off-campus","Living with parents"
"31","Most off-campus","Living with parents"
"32","Most off-campus","Living with parents"
"33","Most off-campus","Living with parents"
"34","Most off-campus","Living with parents"
"35","Most off-campus","Living with parents"
"36","Most off-campus","Living with parents"
"37","Most off-campus","Living with parents"
"38","Most off-campus","Living with parents"
"39","Most off-campus","Living with parents"
"40","Most off-campus","Living with parents"
"41","Most off-campus","Living with parents"
"42","Most off-campus","Living with parents"
"43","Most off-campus","Living with parents"
"44","Most off-campus","Living with parents"
"45","Most off-campus","Living with parents"
"46","Most off-campus","Living with parents"
"47","Most off-campus","Living with parents"
"48","Most off-campus","Living with parents"
"49","Most off-campus","Living with parents"
"50","Most off-campus","Living with parents"
"51","Most off-campus","Living with parents"
"52","Most off-campus","Living with parents"
"53","Most off-campus","Not living with parents"
"54","Most off-campus","Not living with parents"
"55","Most off-campus","Not living with parents"
"56","Most off-campus","Not living with parents"
"57","Most off-campus","Not living with parents"
"58","Most off-campus","Not living with parents"
"59","Most off-campus","Not living with parents"
"60","Most off-campus","Not living with parents"
"61","Most off-campus","Not living with parents"
"62","Most off-campus","Not living with parents"
"63","Most off-campus","Not living with parents"
"64","Most off-campus","Not living with parents"
"65","Most off-campus","Not living with parents"
"66","Most off-campus","Not living with parents"
"67","Most off-campus","Not living with parents"
"68","Most off-campus","Not living with parents"
"69","Most off-campus","Not living with parents"
"70","Most off-campus","Not living with parents"
"71","Most off-campus","Not living with parents"
"72","Most off-campus","Not living with parents"
"73","Most off-campus","Not living with parents"
"74","Most off-campus","Not living with parents"
"75","Most off-campus","Not living with parents"
"76","Most off-campus","Not living with parents"
"77","Most off-campus","Not living with parents"
"78","Most off-campus","Not living with parents"
"79","Most off-campus","Not living with parents"
"80","Most off-campus","Not living with parents"
"81","Most off-campus","Not living with parents"
"82","Most off-campus","Not living with parents"
"83","Most off-campus","Not living with parents"
"84","Most off-campus","Not living with parents"
"85","Most off-campus","Not living with parents"
"86","Most off-campus","Not living with parents"
"87","Most off-campus","Not living with parents"
"88","Most off-campus","Not living with parents"
"89","Most off-campus","Not living with parents"
"90","Most off-campus","Not living with parents"
"91","Most off-campus","Not living with parents"
"92","Most off-campus","Not living with parents"
"93","Most off-campus","Not living with parents"
"94","Most off-campus","Not living with parents"
"95","Most off-campus","Not living with parents"
"96","Most off-campus","Not living with parents"
"97","Most off-campus","Not living with parents"
"98","Most off-campus","Not living with parents"
"99","Most off-campus","Not living with parents"
"100","Most off-campus","Not living with parents"
"101","Most off-campus","Not living with parents"
"102","Most off-campus","Not living with parents"
