"","Region","Age","Education","SourceDistance","SourceQueueTime","HasGarden","HasLivestock","HouseholdPeople","HouseholdUnder5s","WaterSource","WashContainer","Diarrhea"
"1","Mbih",27,"Primary or less","Under 100m","5 to 15 min","Y","N",12,4,"Well","Before each fill","Y"
"2","Mbih",44,"Primary or less","100m to 1000m","5 to 15 min","Y","Y",8,2,"Bore","Before each fill","Y"
"3","Mbih",32,"Secondary or higher","Over 1000m","Over 15 min","N","Y",10,2,"Tap","Before each fill","N"
"4","Mbih",26,"Primary or less","100m to 1000m","5 to 15 min","N","Y",32,10,"Bore","Once per week","Y"
"5","Mbih",30,"Secondary or higher","Under 100m","Under 5 min","N","Y",4,0,"Well","Before each fill","N"
"6","Mbih",60,"Secondary or higher","Under 100m","5 to 15 min","Y","Y",7,0,"Bore","Once per week","N"
"7","Mbih",47,"Primary or less","Under 100m","Under 5 min","N","Y",3,0,"Bore","Before each fill","N"
"8","Mbih",60,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",2,0,"Well","Before each fill","N"
"9","Mbih",61,"Primary or less","100m to 1000m","Under 5 min","N","Y",2,0,"Bore","Once per week","N"
"10","Mbih",58,"Primary or less","100m to 1000m","Under 5 min","N","N",8,0,"Bore","Once per week","N"
"11","Mbih",60,"Primary or less","100m to 1000m","Over 15 min","Y","Y",6,0,"Bore","Before each fill","N"
"12","Mbih",60,"Primary or less","Under 100m","Under 5 min","Y","Y",6,1,"Bore","Once per week","N"
"13","Mbih",25,"Secondary or higher","Under 100m","Over 15 min","N","Y",7,3,"Bore","Once per month","Y"
"14","Mbih",43,"Primary or less","Under 100m","Under 5 min","Y","Y",5,3,"Well","Once per week","N"
"15","Mbih",50,"Secondary or higher","100m to 1000m","5 to 15 min","Y","Y",3,2,"Bore","Before each fill","N"
"16","Mbih",46,"Secondary or higher","100m to 1000m","Under 5 min","Y","Y",7,2,"Bore","Before each fill","N"
"17","Mbih",37,"Primary or less","100m to 1000m","5 to 15 min","N","Y",22,6,"Bore","Before each fill","N"
"18","Mbih",40,"Primary or less","Under 100m","Under 5 min","N","Y",11,3,"Bore","Before each fill","N"
"19","Mbih",22,"Secondary or higher","100m to 1000m","Over 15 min","N","N",13,3,"Bore","Before each fill","Y"
"20","Mbih",NA,"Primary or less","100m to 1000m","Under 5 min","N","Y",3,0,"Well","Before each fill","N"
"21","Mbih",60,"Primary or less","100m to 1000m","Over 15 min","Y","Y",6,2,"Bore","Once per week","Y"
"22","Mbih",44,"Primary or less","100m to 1000m","Over 15 min","Y","Y",12,2,"Bore","Before each fill","Y"
"23","Mbih",28,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",6,NA,"Bore","Once per week","N"
"24","Mbih",60,"Secondary or higher","100m to 1000m","Over 15 min","N","Y",5,1,"Well","Before each fill","N"
"25","Mbih",56,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",17,3,"Well","Before each fill","Y"
"26","Mbih",27,"Secondary or higher","100m to 1000m","Over 15 min","N","N",7,2,"River","Once per week","N"
"27","Mbih",30,"Primary or less","Under 100m","5 to 15 min","Y","Y",4,1,"Bore","Once per week","N"
"28","Mbih",26,"Secondary or higher","Under 100m","Over 15 min","Y","N",5,1,"Bore","Before each fill","N"
"29","Mbih",52,"Secondary or higher","100m to 1000m","Over 15 min","N","Y",8,2,"Bore","Before each fill","Y"
"30","Mbih",40,"Primary or less","100m to 1000m","5 to 15 min","Y","N",10,3,"Bore","Once per week","N"
"31","Mbih",37,"Primary or less","100m to 1000m","Under 5 min","N","Y",7,1,"Bore","Before each fill","N"
"32","Mbih",23,"Secondary or higher","Under 100m","Under 5 min","Y","Y",10,1,"Bore","Once per week","N"
"33","Mbih",22,"Primary or less","100m to 1000m","Over 15 min","N","Y",3,0,"Bore","Once per month","N"
"34","Mbih",28,"Secondary or higher","100m to 1000m","Over 15 min","Y","N",2,0,"Bore","Before each fill","N"
"35","Mbih",29,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",6,2,"Bore","Before each fill","N"
"36","Mbih",35,"Primary or less","100m to 1000m","5 to 15 min","Y","N",4,2,"Bore","Once per week","N"
"37","Mbih",29,"Secondary or higher","100m to 1000m","Over 15 min","Y","N",2,0,"Tap","Before each fill","N"
"38","Mbih",58,"Secondary or higher","Under 100m","Under 5 min","N","Y",6,1,"Well","Before each fill","N"
"39","Mbih",27,"Secondary or higher","100m to 1000m","5 to 15 min","Y","N",11,2,"Bore","Before each fill","N"
"40","Mbih",43,"Primary or less","Under 100m","Under 5 min","Y","N",2,0,"River","Before each fill","N"
"41","Mbih",25,"Secondary or higher","Under 100m","5 to 15 min","N","N",7,1,"Bore","Before each fill","N"
"42","Mbeng",27,"Primary or less","100m to 1000m","Over 15 min","N","Y",8,1,"River","Once per week","N"
"43","Mbeng",60,"Primary or less","Under 100m","Under 5 min","Y","Y",2,0,"River","Before each fill","N"
"44","Mbeng",36,"Secondary or higher","100m to 1000m","Under 5 min","N","N",6,1,"Bore","Before each fill","N"
"45","Mbeng",49,"Secondary or higher","Under 100m","5 to 15 min","Y","Y",12,3,"River","Once per week","Y"
"46","Mbeng",60,"Primary or less","Under 100m","Under 5 min","Y","Y",2,0,"Bore","Once per week","N"
"47","Mbeng",28,"Primary or less","Under 100m","5 to 15 min","Y","Y",4,0,"Bore","Once per week","N"
"48","Mbeng",56,"Primary or less","100m to 1000m","Under 5 min","Y","Y",7,1,"River","Before each fill","N"
"49","Mbeng",29,"Primary or less","Under 100m","5 to 15 min","Y","Y",3,1,"Bore","Before each fill","N"
"50","Mbeng",54,"Secondary or higher","Under 100m","Under 5 min","Y","N",4,1,"Well","Once per week","Y"
"51","Mbeng",60,"Primary or less","Under 100m","Under 5 min","Y","Y",1,0,"Well","Once per week","N"
"52","Mbeng",41,"Primary or less","100m to 1000m","5 to 15 min","Y","Y",6,4,"Well","Before each fill","N"
"53","Mbeng",60,"Secondary or higher","Under 100m","Under 5 min","Y","N",4,0,"Well","Before each fill","N"
"54","Mbeng",58,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",8,3,"Well","Before each fill","Y"
"55","Mbeng",30,"Secondary or higher","Over 1000m","Over 15 min","Y","Y",8,1,"Tap","Before each fill","N"
"56","Mbeng",23,"Secondary or higher","Under 100m","Under 5 min","Y","N",5,1,"Bore","Once per month","N"
"57","Mbeng",37,"Secondary or higher","100m to 1000m","Under 5 min","Y","Y",3,1,"River","Before each fill","Y"
"58","Mbeng",19,"Secondary or higher","100m to 1000m","Over 15 min","Y","Y",4,0,"Bore","Before each fill","N"
"59","Mbeng",59,"Secondary or higher","100m to 1000m","5 to 15 min","N","Y",4,0,"Bore","Before each fill","N"
"60","Mbeng",40,"Secondary or higher","Under 100m","Over 15 min","Y","N",4,1,"Bore","Once per week","N"
"61","Mbeng",60,"Primary or less","100m to 1000m","Over 15 min","Y","Y",5,2,"Bore","Before each fill","Y"
"62","Mbeng",24,"Secondary or higher","100m to 1000m","5 to 15 min","Y","Y",6,1,"Bore","Before each fill","N"
"63","Mbeng",37,"Primary or less","100m to 1000m","Over 15 min","Y","Y",15,5,"Bore","Once per week","Y"
"64","Mbeng",26,"Secondary or higher","Under 100m","5 to 15 min","Y","Y",5,1,"Bore","Before each fill","Y"
"65","Mbeng",48,"Primary or less","100m to 1000m","Over 15 min","Y","N",7,1,"Bore","Before each fill","N"
"66","Mbeng",37,"Secondary or higher","100m to 1000m","Over 15 min","Y","N",6,0,"Bore","Before each fill","N"
"67","Mbeng",60,"Primary or less","Under 100m","Over 15 min","Y","N",3,0,"Bore","Before each fill","N"
"68","Mbeng",30,"Primary or less","Over 1000m","Over 15 min","N","Y",13,1,"Bore","Before each fill","N"
"69","Mbeng",58,"Secondary or higher","Over 1000m","Over 15 min","Y","Y",6,2,"Bore","Before each fill","N"
"70","Mbeng",60,"Secondary or higher","Over 1000m","Over 15 min","N","Y",6,0,"Well","Once per week","N"
"71","Mbeng",23,"Secondary or higher","Under 100m","5 to 15 min","Y","Y",15,2,"Bore","Once per week","Y"
"72","Mbeng",44,"Primary or less","100m to 1000m","5 to 15 min","Y","Y",5,3,"Bore","Before each fill","Y"
"73","Mbeng",55,"Primary or less","100m to 1000m","5 to 15 min","Y","Y",3,1,"Bore","Before each fill","N"
"74","Mbeng",29,"Primary or less","Over 1000m","Under 5 min","N","N",6,2,"Bore","Before each fill","N"
"75","Mbeng",60,"Primary or less","Under 100m","Under 5 min","Y","Y",4,1,"Well","Before each fill","Y"
"76","Mbeng",60,"Secondary or higher","100m to 1000m","5 to 15 min","Y","Y",6,1,"Bore","Before each fill","Y"
"77","Mbeng",23,"Secondary or higher","Under 100m","5 to 15 min","Y","N",2,0,"Bore","Before each fill","N"
