"Lung.Wt","Age","Mouse"
126,3,"C57"
85.3,3,"C57"
87.9,3,"C57"
105.8,3,"C57"
152.2,3,"C57"
121.8,3,"C57"
130.8,3,"C57"
196.1,3,"C57"
155,3,"C57"
102,3,"C57"
112,3,"C57"
102,3,"mdx"
111.8,3,"mdx"
76.9,3,"mdx"
76.3,3,"mdx"
117.5,3,"mdx"
102.6,3,"mdx"
115,3,"mdx"
118,3,"mdx"
NA,6,"C57"
NA,6,"C57"
NA,6,"C57"
NA,6,"C57"
NA,6,"C57"
NA,6,"C57"
NA,6,"C57"
192,6,"C57"
180,6,"C57"
251,6,"C57"
137.4,6,"mdx"
157.6,6,"mdx"
168.6,6,"mdx"
183.3,6,"mdx"
138.7,6,"mdx"
185.9,6,"mdx"
132,6,"mdx"
230.7,12,"C57"
201.6,12,"C57"
NA,12,"C57"
137.4,12,"C57"
211,12,"C57"
189.1,12,"C57"
141.2,12,"C57"
120.2,12,"C57"
219.7,12,"mdx"
140.1,12,"mdx"
169.1,12,"mdx"
149,12,"mdx"
172.2,12,"mdx"
151.3,12,"mdx"
161,12,"mdx"
317.4,26,"C57"
215,26,"C57"
168.8,26,"C57"
208,26,"C57"
189.2,26,"C57"
204.3,26,"C57"
191.7,26,"C57"
268.9,26,"C57"
NA,26,"C57"
NA,26,"C57"
263.3,26,"C57"
180.9,26,"C57"
209.6,26,"C57"
140.7,26,"C57"
299.3,26,"C57"
208.9,26,"C57"
164.6,26,"C57"
NA,26,"mdx"
NA,26,"mdx"
NA,26,"mdx"
NA,26,"mdx"
NA,26,"mdx"
NA,26,"mdx"
NA,26,"mdx"
264.2,26,"mdx"
129.9,26,"mdx"
125,26,"mdx"
181.2,26,"mdx"
239.3,26,"mdx"
184.9,26,"mdx"
198.8,26,"mdx"
324,39,"C57"
166,39,"C57"
164,39,"C57"
276.8,39,"C57"
185,39,"C57"
177,39,"C57"
218,39,"C57"
250.7,39,"C57"
229,39,"mdx"
149,39,"mdx"
183,39,"mdx"
148,39,"mdx"
NA,39,"mdx"
194,39,"mdx"
151,39,"mdx"
222,52,"C57"
181.2,52,"C57"
257.7,52,"C57"
335.2,52,"C57"
265.7,52,"C57"
165.4,52,"C57"
232,52,"C57"
NA,52,"mdx"
217.5,52,"mdx"
237.8,52,"mdx"
212.8,52,"mdx"
197.1,52,"mdx"
169.6,52,"mdx"
257.4,52,"mdx"
272.6,52,"mdx"
NA,52,"mdx"
200.2,52,"mdx"
262,52,"mdx"
197.8,52,"mdx"
180.8,65,"C57"
198.7,65,"C57"
245.3,65,"C57"
213.3,65,"C57"
224.5,65,"C57"
235.7,65,"C57"
271.8,65,"C57"
149.1,65,"mdx"
187.1,65,"mdx"
160.5,65,"mdx"
242,65,"mdx"
150.7,65,"mdx"
189.3,65,"mdx"
262.7,65,"mdx"
171.6,65,"mdx"
203.4,78,"C57"
164.8,78,"C57"
177.8,78,"C57"
217.2,78,"C57"
208.7,78,"C57"
215.5,78,"C57"
182.2,78,"mdx"
198.2,78,"mdx"
151.8,78,"mdx"
142,78,"mdx"
175,78,"mdx"
128,78,"mdx"
144,78,"mdx"
240.7,104,"C57"
202.6,104,"C57"
175.7,104,"C57"
253.7,104,"C57"
278.5,104,"C57"
206.9,104,"C57"
138.4,104,"mdx"
161.3,104,"mdx"
155.9,104,"mdx"
218,104,"mdx"
156.7,104,"mdx"
199.1,104,"mdx"
177,104,"mdx"
