survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
SHORT,pot,New Zealand,Australasia,-45.90079388,170.4599672,150,Yes,,,,,,
LONG,ground,New Zealand,Australasia,-43.52550465,172.6113074,320,Yes,1,2013,50,YESWATER,No,Sandy
LONG,ground,New Zealand,Australasia,-43.51144449,172.6209765,350,Yes,1,,,,,
LONG,ground,New Zealand,Australasia,-43.50876845,172.6536078,250,Yes,1,,,,,
LONG,ground,Australia,Australasia,-43.34282603,146.9737889,400,Yes,1,2016,350,NOWATER,No,Clay
SHORT,ground,Australia,Australasia,-43.17467053,147.1545106,100,Yes,1,,,,,
SHORT,,Australia,Australasia,-43.15391088,147.0727112,15,No,1,,,,,
LONG,ground,Australia,Australasia,-43.12823885,147.247699,200,Yes,1,2011,40,NOWATER,No,
SHORT,ground,Australia,Australasia,-43.12811717,147.2306177,80,Yes,1,,,,,
LONG,ground,Australia,Australasia,-43.11633006,147.2646858,60,Yes,1,2018,30,YESWATER,Yes,Clay
LONG,,Australia,Australasia,-43.10865361,147.2453621,300,Yes,4,2013,165,NOWATER,No,
LONG,ground,Australia,Australasia,-43.1068175,147.215152,120,Yes,1,2004,30,YESWATER,No,Clay
LONG,ground,Australia,Australasia,-43.1068175,147.215152,130,Yes,1,2018,110,YESWATER,No,Clay
LONG,,Australia,Australasia,-43.10556274,147.224591,300,Yes,4,,,,,
LONG,ground,Australia,Australasia,-43.10418608,147.2156662,500,Yes,1,2017,400,,,
LONG,ground,Australia,Australasia,-43.08473269,147.245078,270,Yes,1,1995,35,YESWATER,Yes,Sandy
LONG,ground,Australia,Australasia,-43.06606902,147.2560829,366,Yes,1,,,,,
LONG,ground,Australia,Australasia,-43.03340724,147.0448163,300,Yes,1,,,,,
LONG,ground,Australia,Australasia,-43.03163859,147.2560622,530,Yes,1,2011,35,YESWATER,No,
LONG,ground,Australia,Australasia,-43.03163859,147.2560622,530,Yes,1,2011,40,YESWATER,No,Sandy
LONG,pot,Australia,Australasia,-42.99901358,147.3189566,70,Yes,1,2018,50,YESWATER,No,
LONG,pot,Australia,Australasia,-42.98467547,147.3202442,450,Yes,1,2007,50,YESWATER,Yes,Potting mix
LONG,ground,Australia,Australasia,-42.95489262,147.2364637,220,Yes,1,2017,200,YESWATER,No,
SHORT,ground,Australia,Australasia,-42.9478564,147.2347441,400,Yes,1,,,,,
LONG,pot,Australia,Australasia,-42.92586735,147.2865647,50,Yes,1,2019,NA,YESWATER,Yes,
LONG,ground,Australia,Australasia,-42.90254739,147.3289512,244,Yes,1,,30,NOWATER,No,
LONG,pot,Australia,Australasia,-42.89940492,147.3226858,150,Yes,1,2009,15,YESWATER,Yes,Potting mix
LONG,ground,Australia,Australasia,-42.89857047,147.2857454,300,Yes,1,,,,,
LONG,pot,Australia,Australasia,-42.89819327,147.2851445,180,Yes,1,2009,30,YESWATER,Yes,Potting mix
LONG,pot,Australia,Australasia,-42.88857426,147.4059627,NA,Yes,1,,,,,
LONG,,Australia,Australasia,-42.88357072,147.3076982,120,Yes,1,,50,YESWATER,No,Clay
SHORT,ground,Australia,Australasia,-42.88287427,147.326196,100,Yes,1,,,,,
SHORT,ground,Australia,Australasia,-42.88262268,147.3265823,400,Yes,,,,,,
SHORT,ground,Australia,Australasia,-42.88215098,147.326668,300,Yes,1,,,,,
LONG,pot,Australia,Australasia,-42.88208814,147.3258097,90,Yes,1,2006,30,YESWATER,Yes,Potting mix
SHORT,ground,Australia,Australasia,-42.88189943,147.3263247,350,Yes,,,,,,
LONG,pot,Australia,Australasia,-42.88108903,147.4140285,100,Yes,1,2011,,YESWATER,Yes,
LONG,ground,Australia,Australasia,-42.87574594,147.3938803,120,Yes,1,,,,,
LONG,pot,Australia,Australasia,-42.86579939,147.2913453,500,Yes,,2005,150,YESWATER,No,Potting mix
LONG,pot,Australia,Australasia,-42.85968974,147.4028591,150,Yes,3,2016,,YESWATER,No,
SHORT,pot,Australia,Australasia,-42.8577643,147.8351328,100,Yes,1,,,,,
LONG,pot,Australia,Australasia,-42.8577643,147.8351328,120,Yes,1,2011,30,YESWATER,No,Potting mix
SHORT,pot,Australia,Australasia,-42.8577643,147.8351328,250,Yes,1,,,,,
LONG,ground,Australia,Australasia,-42.83244474,147.553577,300,Yes,2,2008,30,YESWATER,No,Sandy
SHORT,ground,Australia,Australasia,-42.77666735,147.0577818,60,Yes,1,,,,,
SHORT,ground,Australia,Australasia,-42.72943837,147.1474542,90,Yes,1,,,,,
LONG,ground,Australia,Australasia,-42.59058447,146.6978982,400,Yes,1,,,,,
LONG,ground,Australia,Australasia,-42.05294599,145.3033624,500,Yes,1,,,,,
LONG,ground,Australia,Australasia,-41.54205822,146.1354891,510,Yes,1,2004,80,NOWATER,No,
