"Willow","Skypilot","MinTemp","Altitude"
201,201,11.3,11500
178,179,10.88888889,10000
189,189,11.11111111,11520
189,189,11.11111111,11520
196,203,9.722222222,10880
207,203,11.72222222,11480
199,199,11.11111111,10420
178,182,11.55555556,11040
178,178,9.777777778,11554
191,191,9.722222222,11120
187,192,12.61111111,11150
190,197,8.055555556,11650
190,190,8.055555556,11650
209,209,8.055555556,11880
221,221,8.055555556,11560
179,188,11.11111111,11400
174,179,10.27777778,10840
172,166,13.44444444,11500
196,196,9.222222222,11800
173,173,13.11111111,11500
180,173,10.55555556,11500
181,179,NA,11500
186,186,8.055555556,11300
194,209,9.666666667,11375
197,197,9.722222222,11480
