"BackBreadth","ChestBeatRate","FocalTime","Male","NoChestBeats","Age","Age20"
59.8,4.4,90.1,"KRB",40,16.5,"Younger"
58,1.8,272.7,"URS",50,14,"Younger"
60.3,1.7,295,"GIC",49,19.9,"Younger"
54.6,1.5,262.3,"PTO",39,15.2,"Younger"
55.8,1.5,52.4,"DUS",8,12.6,"Younger"
58.7,0.9,11.1,"AHZ",1,12.1,"Younger"
64.6,4.4,114,"IYA",50,14.3,"Younger"
62.2,4.1,125.8,"MAF",51,15.8,"Younger"
62.1,4,57,"GIR",23,20.5,"Older"
61.5,3,90.7,"ISH",27,13.8,"Younger"
55.4,2.6,27.4,"IGZ",7,12.6,"Younger"
57,1.7,217.5,"TBK",38,16.9,"Younger"
65,1.6,186.7,"ISA",30,22.5,"Older"
55.4,1.5,245.2,"TRK",38,16.5,"Younger"
59.6,1.3,7.5,"KBN",1,12.9,"Younger"
58.4,1.1,55.4,"BWE",6,25.1,"Older"
54.8,0.9,103.6,"WAG",9,20.2,"Older"
59.4,0.8,90,"UGE",7,27.5,"Older"
58.3,0.7,146,"KBH",10,16.5,"Younger"
62,0.6,68,"VUB",4,21.6,"Older"
59.2,0.4,73.7,"KIR",3,23.6,"Older"
64.3,0.3,306.9,"CAN",8,36.4,"Older"
60.2,0.2,174.2,"UGU",3,24.5,"Older"
57,0.1,90,"NTA",1,29.1,"Older"
60.2,0,48.3,"RAN",0,22.7,"Older"
