"Col","Spine","Width","Sat","Wt"
"M","NoneOK",28.3,8,3050
"DM","NoneOK",22.5,0,1550
"LM","BothOK",26,9,2300
"DM","NoneOK",24.8,0,2100
"DM","NoneOK",26,4,2600
"M","NoneOK",23.8,0,2100
"LM","BothOK",26.5,0,2350
"DM","OneOK",24.7,0,1900
"M","BothOK",23.7,0,1950
"DM","NoneOK",25.6,0,2150
"DM","NoneOK",24.3,0,2150
"M","NoneOK",25.8,0,2650
"M","NoneOK",28.2,11,3050
"D","OneOK",21,0,1850
"M","BothOK",26,14,2300
"LM","BothOK",27.1,8,2950
"M","NoneOK",25.2,1,2000
"M","NoneOK",29,1,3000
"D","NoneOK",24.7,0,2200
"M","NoneOK",27.4,5,2700
"M","OneOK",23.2,4,1950
"LM","OneOK",25,3,2300
"M","BothOK",22.5,1,1600
"DM","NoneOK",26.7,2,2600
"D","NoneOK",25.8,3,2000
"D","NoneOK",26.2,0,1300
"M","NoneOK",28.7,3,3150
"M","BothOK",26.8,5,2700
"D","NoneOK",27.5,0,2600
"M","NoneOK",24.9,0,2100
"LM","BothOK",29.3,4,3200
"LM","NoneOK",25.8,0,2600
"M","OneOK",25.7,0,2000
"M","BothOK",25.7,8,2000
"M","BothOK",26.7,5,2700
"D","NoneOK",23.7,0,1850
"M","NoneOK",26.8,0,2650
"M","NoneOK",27.5,6,3150
"D","NoneOK",23.4,0,1900
"M","NoneOK",27.9,6,2800
"DM","NoneOK",27.5,3,3100
"LM","BothOK",26.1,5,2800
"LM","BothOK",27.7,6,2500
"M","BothOK",30,5,3300
"DM","BothOK",28.5,9,3250
"DM","NoneOK",28.9,4,2800
"M","NoneOK",28.2,6,2600
"M","NoneOK",25,4,2100
"M","NoneOK",28.5,3,3000
"M","BothOK",30.3,3,3600
"D","NoneOK",24.7,5,2100
"M","NoneOK",27.7,5,2900
"LM","BothOK",27.4,6,2700
"M","NoneOK",22.9,4,1600
"M","BothOK",25.7,5,2000
"M","NoneOK",28.3,15,3000
"M","NoneOK",27.2,3,2700
"DM","NoneOK",26.2,3,2300
"M","BothOK",27.8,0,2750
"D","NoneOK",25.5,0,2250
"DM","NoneOK",27.1,0,2550
"DM","NoneOK",24.5,5,2050
"DM","BothOK",27,3,2450
"M","NoneOK",26,5,2150
"M","NoneOK",28,1,2800
"M","NoneOK",30,8,3050
"M","NoneOK",29,10,3200
"M","NoneOK",26.2,0,2400
"M","BothOK",26.5,0,1300
"M","NoneOK",26.2,3,2400
"DM","NoneOK",25.6,7,2800
"DM","NoneOK",23,1,1650
"DM","NoneOK",23,0,1800
"M","NoneOK",25.4,6,2250
