"High1","Mid1","High2","Mid2"
61.63,18.36,62.64,19.12
63.11,18.77,64.36,19.07
66.88,18.98,66.06,19.58
62.56,17.97,65.39,19.35
66.12,19.69,66.85,19.65
65.34,19.63,65.56,19.13
64.83,19.5,66.6,19.55
64.22,19.39,66.9,19.85
65.54,19.87,65.5,19.45
65.33,19.66,65.92,19.87
67.83,20.41,65.51,19.73
65.97,18.37,65.03,19.6
65.01,19.09,64.22,20.76
64.51,18.98,64.19,18.98
64.3,19.22,64.95,19.93
64.38,18.99,64.95,19.15
64.75,19.58,64.45,19.23
63.12,19.7,64.77,19.2
62.93,19,65.58,19.52
63.59,19.11,64.87,19.38
67.04,19.97,63.52,19.08
64.38,19.52,65.02,18.89
63.41,19.39,66.05,19.57
64.19,17.2,63.82,19.35
64.86,19.75,64.58,19.13
63.7,19.35,65.09,19.44
63.14,19.95,64.86,19.27
66,19.38,64.85,19.58
63.43,19.33,66.75,19.71
64.25,19,65.37,19.64
63.67,19.05,64.29,19.14
64.78,19.24,65.5,19.28
58.02,19.29,62.85,19.68
63.46,19.29,64,18.27
65.2,19.18,63.72,18.75
63.74,19.35,64.3,19.57
