"Sample","Gravel","Sand","Clay","PI","CBR"
1,0,27.15,72.85,8.22,5.56
2,2.35,28.94,68.71,7.97,5.62
3,1.31,28.94,68.71,7.52,5.77
4,0.64,30.14,69.22,7.69,5.69
5,4.71,36.52,58.77,6.95,5.81
6,2.39,35.23,62.38,6.12,6.12
7,1.44,35.01,63.55,6.56,6.1
8,0.35,29.44,70.21,8.46,5.72
9,2.35,28.94,68.71,6.52,6.2
10,1.87,26.92,71.21,6.72,6.05
11,0,25.94,74.06,7.15,5.95
12,2.65,18.12,79.23,8.11,5.67
13,1.25,27.64,71.11,7.35,5.92
14,3.81,26.92,69.27,7.25,5.88
15,3.35,13.44,83.21,8.12,5.98
16,2.38,28.21,69.41,7.02,6.02
