"Meals","Live"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most off-campus","Not living with parents"
"Most on-campus","Living with parents"
"Most on-campus","Living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
"Most on-campus","Not living with parents"
